,p value
CAMK4,0.62515349
CAMK2D,0.481887439
CAMK2G,0.744230619
CAMLG,0.599409764
CANX,0.523207184
CAPG,0.287170088
CAPN1,0.726299244
CAPN2,0.336573637
CAPNS1,0.393335608
CAPZA1,0.916210846
CAPZA2,0.134026948
CAST,0.419664421
CAPZB,0.809215836
CARS1,0.935118892
CASP1,0.6923333
CASP2,0.091652349
CASP3,0.697193934
CASP4,0.962298844
CASP6,0.133252678
CASP7,0.418963436
CASP8,0.8808545
CASP9,0.59834395
CASP10,0.752720882
CAT,0.535488095
RUNX3,0.44371558
CBFB,0.040318025
CBL,0.709660009
CBLB,0.451217059
SERPINH1,0.938301406
CBR1,0.632391437
KYAT1,0.305780793
KRIT1,0.106996003
CCNA2,0.322261237
CCNB1,0.674809009
CCNC,0.307520904
CCND2,0.754423768
CCND3,0.078247859
CCNE1,0.798067162
CCNF,0.037340546
CCNG1,0.965655911
CCNH,0.902048692
CCNT1,0.524276636
CCNT2,0.504986704
CCT6A,0.978598434
CD9,0.427192544
CD19,0.856446483
MS4A1,0.853312859
CD22,0.987521073
CD24P4,0.759566764
CD27,0.112786986
CD80,0.606178805
CD86,0.347585875
TNFRSF8,0.506492443
SCARB1,0.877237481
SCARB2,0.492575548
CD37,0.610567613
CD38,0.828285998
ENTPD1,0.61485172
ENTPD6,0.538647121
CD40,0.952919524
CD44,0.12471171
CD47,0.781264459
CD48,0.489451522
CD53,0.512382611
CD58,0.773943672
CD59,0.59622054
CD63,0.24213559
CD69,0.223182727
CD70,0.480997951
CD74,0.368870201
CD79A,0.808299266
CD79B,0.991904397
CD81,0.723491552
ADGRE5,0.50868729
CD151,0.696417023
CDK1,0.380435024
CDK11B,0.323949027
LRBA,0.326958832
CDC5L,0.447956659
SEPTIN7,0.931280963
CDC6,0.820821306
CDC20,0.88026113
CDC25A,0.429201744
CDC25B,0.156568236
CDC25C,0.647604178
CDC27,0.692753481
CDC34,0.858179984
CDC42,0.273251746
CDK2,0.934736615
CDK4,0.554044817
CDK5,0.834854734
CDK6,0.533606968
CDK7,0.539483733
CDK8,0.711117133
CDK9,0.51816494
CDKN1A,0.815247003
CDKN1B,0.841620481
CDKN2A,0.847787667
CDKN2C,0.897589811
CDKN3,0.279242447
CDR2,0.722928699
CD52,0.424621447
CEBPG,0.9767467
CENPA,0.415123081
CENPB,0.433823178
CENPC,0.329944008
CENPE,0.555410467
CENPF,0.642736847
CETN2,0.000789481
CETN3,0.12698882
CFL1,0.910224467
CTSC,0.952050352
RCBTB2,0.51969714
RCC1,0.345159413
CHD1,0.533849106
CHD2,0.549854943
CHD3,0.943791798
CHD4,0.547872705
CHEK1,0.822993244
FOXN3,0.562446905
CHI3L2,0.105240188
CHKA,0.422963784
CHKB,0.706145638
CHM,0.053731861
CHML,0.776537726
CHUK,0.570070089
CIRBP,0.259877452
TBCB,0.417639775
ERCC8,0.462104204
CKS1B,0.484025207
CKS2,0.186942165
AP2M1,0.481914146
AP1S1,0.575705642
AP2S1,0.678087373
AP3S1,0.970868652
CLCN3,0.065050875
CLCN7,0.352275686
CLIC1,0.743848929
CLIC2,0.534830178
CLK1,0.08579179
CLK2,0.32353474
CLK3,0.216956698
TPP1,0.219437321
CLN3,0.41890301
CLN5,0.401805617
CLNS1A,0.295903976
CLPTM1,0.438719895
CLTA,0.412153317
CLTB,0.109096715
CLTC,0.64719253
CCR6,0.763374127
CCR7,0.104022256
PLK3,0.383461197
CNN2,0.543789487
CNN3,0.159406574
CNP,0.44879989
CNR1,0.80750981
CNR2,0.729794417
COL9A2,0.547513019
COL19A1,0.474907484
COMT,0.519097855
COPA,0.226129768
COPB1,0.366600427
KLF6,0.078004598
SLC31A1,0.61201853
MAP3K8,0.827707398
COX4I1,0.851904863
COX5B,0.644251732
COX6A1,0.935842518
COX6B1,0.680310037
COX6C,0.454457633
COX7A2,0.376815372
COX7B,0.963310531
COX7C,0.459420596
COX8A,0.718687347
COX10,0.641724693
COX11,0.341330061
COX15,0.566797804
CPD,0.142558271
CPOX,0.450221584
CPT1B,0.25653105
CPT2,0.806740937
CR2,0.353464862
CREB1,0.242032973
ATF2,0.97890343
CREBBP,0.566998817
ATF6B,0.765877899
CREBL2,0.488674702
CREM,0.330854194
CRIP1,0.575077258
CRK,0.772054295
CRKL,0.478794243
CRY1,0.71810947
CRY2,0.860749181
CRYBB2P1,0.445704675
CRYZ,0.911004003
CS,0.793490613
MAPK14,0.394913729
CSE1L,0.83874902
CSF1,0.823389517
CSF2RB,0.554391822
CSK,0.318401854
CSNK1A1,0.022814493
CSNK1D,0.123992537
CSNK1E,0.654154842
CSNK1G2,0.094628405
CSNK1G3,0.851441787
CSNK2A1,0.759151419
CSNK2A2,0.680746416
CSNK2B,0.83694638
CSRP1,0.09808618
SLC25A10,0.504068591
CST3,0.727735138
CSTB,0.678526963
CSTF1,0.050115563
CSTF2,0.349893369
CSTF3,0.028163511
CTBP1,0.211864341
CTH,0.75890751
CTNNA1,0.799486893
CTNS,0.920051044
CTNNB1,0.646903515
CTNND1,0.113852523
CTPS1,0.978786196
CTSB,0.791275439
CTSD,0.517087537
CTSH,0.348340064
CTSO,0.168797357
CTSS,0.868266813
CTSZ,0.864831345
CUX1,0.278108735
CYB5A,0.753857598
CYBA,0.26369469
CYBB,0.817632572
CYC1,0.102632342
CYLD,0.931764704
CYP1B1,0.706983126
CYP51A1,0.403265402
DAD1,0.838638165
CD55,0.86472266
DAG1,0.238096696
DGKA,0.641223883
DGKQ,0.482993621
DAP,0.42383312
DAPK1,0.301387764
DAPK3,0.316830666
DARS1,0.296816969
DAXX,0.090794676
DBI,0.52842632
DBN1,0.861775261
DBT,0.774304105
ECI1,0.606519294
DCK,0.250672585
DCTD,0.279840325
DCTN1,0.81571558
DDB1,0.682422408
DDB2,0.890118535
GADD45A,0.564165742
DDIT3,0.779301256
DDOST,0.854064161
DDT,0.336987602
DDX1,0.322808361
DDX3X,0.392442429
DDX5,0.171203535
DDX6,0.220363177
DMXL1,0.890066412
DHX8,0.933336881
DHX9,0.630631419
DDX10,0.609308241
DDX11,0.224851534
DHX15,0.844835065
DECR1,0.6304247
DFFA,0.375447664
TIMM8A,0.830264839
GSDME,0.924457611
COCH,0.407695205
DGUOK,0.366907779
DHCR7,0.63035922
DHCR24,0.88076385
DHFR,0.462662491
DHODH,0.579794682
DHPS,0.939221692
CYB5R3,0.51465407
NQO1,0.981441941
DIAPH1,0.582921263
DIAPH2,0.885366595
SEPTIN1,0.381866368
DKC1,0.231373196
DLAT,0.535096582
DLD,0.230408532
DLG1,0.08511905
DLST,0.539045639
DMD,0.849014339
DMPK,0.847940802
DMWD,0.741354046
DNA2,0.60956202
DNASE1L1,0.98111026
DNASE1L3,0.914478183
DNASE2,0.906033143
DYNC1H1,0.976364632
DYNC1I2,0.042528554
DYNC1LI2,0.163073462
DNM2,0.135667366
DNMT1,0.371492789
DNMT3A,0.867970031
DOCK2,0.702177583
DOK1,0.450823522
DXO,0.290514828
DPAGT1,0.581612244
DPH1,0.936104297
DPH2,0.449931981
DPYD,0.14854641
DPYSL2,0.803018433
DR1,0.488375296
DRG2,0.168979398
ARID3A,0.077351969
RCAN1,0.306845879
DSG2,0.735494906
TSC22D3,0.881340955
DTYMK,0.906470266
DUSP2,0.42316954
DUSP4,0.528953648
DUSP5,0.616438529
DUSP7,0.240023503
DUT,0.380817417
DVL1,0.280722764
DVL2,0.619381157
DVL3,0.898995064
DYRK1A,0.511252006
TOR1A,0.083948549
E2F1,0.075079725
E2F2,0.15404632
E2F3,0.961677558
E2F4,0.535346523
E2F5,0.082787669
E2F6,0.40516081
E4F1,0.24346229
EBF1,0.815935245
GPR183,0.487528794
ECE1,0.979970604
TYMP,0.686773179
ECH1,0.753398998
ECHS1,0.61369526
ECT2,0.745726015
S1PR1,0.900734256
EDN1,0.754747586
PHC2,0.901252661
EEF1A1,0.334940477
EEF1B2,0.553303318
EEF1D,0.560821379
EEF1G,0.726030451
EEF2,0.056900368
EIF2D,0.793768898
MEGF8,0.340621599
EGR2,0.859797875
EIF1AX,0.69974538
EIF2S1,0.427060403
EIF2B1,0.824078866
EIF2S3,0.753127813
EIF4A1,0.896469715
EIF4A2,0.238945168
EIF4B,0.359499218
EIF4E,0.405779669
EIF4EBP1,0.396900666
EIF4EBP2,0.221457677
EIF4G1,0.332833013
EIF4G2,0.89007891
EIF5,0.985798292
EIF5A,0.339075002
SERPINB1,0.411802382
ELAVL1,0.793652625
ELF1,0.552113547
ELF2,0.784125716
ELF4,0.884083168
ELK1,0.612497844
ELK4,0.59466096
EMD,0.279778972
MARK2,0.572114176
EMP3,0.919153612
CTTN,0.214131147
ENDOG,0.761504197
ENO1,0.637240328
ENO2,0.986935052
ENO3,0.336431132
ENSA,0.808708471
SLC29A1,0.714477986
EP300,0.924047149
EPB41,0.724692528
EPB41L2,0.178097061
STOM,0.333291673
STX2,0.829711406
EPRS1,0.626828228
EPS8,0.532878457
EPS15,0.597844265
NR2F6,0.213463656
ERCC1,0.957334726
ERCC2,0.188658208
ERCC3,0.490715804
ERCC4,0.58465711
ERCC5,0.312311814
ERCC6,0.481536049
ERF,0.215309215
ERH,0.474942666
ERV3-1,0.309508875
FBL,0.542784161
ESD,0.74962852
ESRRA,0.749695066
ETF1,0.984511701
ETFA,0.69361928
ETFB,0.833414962
ETFDH,0.265467804
ETS1,0.907981367
ETV3,0.810812773
ETV5,0.909909385
ETV6,0.486442983
EVC,0.438480683
EVI2A,0.592930086
EVI2B,0.942640058
EWSR1,0.944469885
EXT1,0.950375037
EXT2,0.944204233
EXTL2,0.735312973
EXTL3,0.135549502
EYA3,0.048222154
EZH1,0.276526189
EZH2,0.408141245
F13A1,0.240240835
FABP5,0.888091496
FANCA,0.167039838
FANCC,0.236290049
FANCD2,0.81130392
FANCE,0.490804658
ACSL1,0.880304402
ACSL3,0.673515912
ACSL4,0.186870358
FAH,0.851167067
PTK2B,0.487085877
BPTF,0.19471288
FANCB,0.898891044
FANCF,0.145558192
FANCG,0.908863278
FARSA,0.120141627
FASN,0.104073282
FAU,0.96085044
FBN1,0.963015783
FCER2,0.717219863
FCGR2B,0.412862808
FKTN,0.95123671
FDFT1,0.976621518
FDPS,0.48776858
FDX1,0.80335636
FDXR,0.647276702
FECH,0.973102966
FEN1,0.823770971
FER,0.646795435
FES,0.748493835
FGR,0.084412889
FH,0.527543132
FHL3,0.734996723
FKBP1A,0.754167435
FKBP2,0.531105411
FKBP3,0.057901917
FKBP4,0.812929044
FKBP5,0.316056876
FOXM1,0.564582843
FOXO1,0.271225101
FLI1,0.401868089
FLII,0.909272056
FLNA,0.933846865
FLNB,0.16597875
FLOT2,0.534905231
FLT3LG,0.410551659
FMR1,0.663376916
FNTA,0.044048746
FNTB,0.169200998
FPGS,0.427194644
MTOR,0.27639433
FRG1,0.364374337
CENPI,0.705316198
FTH1,0.667181664
FTL,0.67267283
FUCA1,0.470599127
FUCA2,0.732019333
FUS,0.340755062
FUT8,0.977267336
KDSR,0.257245752
FYN,0.124912003
IFI6,0.837157998
G6PD,0.85790417
SLC37A4,0.532197408
XRCC6,0.100722048
GAA,0.855371604
GABPA,0.07068163
GABPB1,0.690062151
GAK,0.706730983
GALE,0.531680932
GALK1,0.367153074
GALK2,0.518057495
GALNT1,0.605412022
GALNT2,0.619702121
GALT,0.553320923
GAMT,0.03711368
GANC,0.584044922
GAPDH,0.268944851
GARS1,0.425288517
GART,0.943495728
GAS2,0.541299599
GATM,0.739231553
GBA,0.239015795
GBAP1,0.517925422
NIPSNAP2,0.808365869
GBE1,0.184629862
GBP1,0.255699832
GBP2,0.156006103
GBP3,0.265585454
GCDH,0.665032808
GCH1,0.152672151
GCHFR,0.735699456
BLOC1S1,0.91994861
KAT2A,0.320037999
GCNT2,0.693181729
GCSH,0.337129033
GDI1,0.36302789
GDI2,0.881452348
GFER,0.064415504
GFI1,0.934710919
GFPT1,0.802555987
GGCX,0.212390475
GGT1,0.077262526
B4GALT1,0.885173941
GK,0.349153881
GLA,0.49873186
GLB1,0.213971543
GCLC,0.703427081
GCLM,0.165156218
GLDC,0.182807986
GLE1,0.352921606
GLG1,0.600690556
GLO1,0.889690334
GLS,0.687010514
GLRX,0.611197402
GLUD1,0.987125928
GLUL,0.519751667
GM2A,0.759413948
GMDS,0.853005652
GMFB,0.380866298
GNA11,0.697901624
GNA12,9.18E-05
GNA15,0.866182184
GNAI2,0.421367783
GNAI3,0.951416224
GNAS,0.821535314
GNB1,0.307794399
GNB2,0.38310389
GNG5,0.822992158
GNG7,0.438728278
GNG10,0.014402013
GNGT2,0.095170713
GNL1,0.905269047
GNS,0.762753521
GOLGA1,0.581625799
GOLGA2,0.669144438
GOLGA3,0.889692623
GOLGA4,0.067370385
GOLGB1,0.015536407
GOT1,0.985370122
GOT2,0.83294231
GPD2,0.313859574
GPI,0.382510182
CCR10,0.051514195
CXCR3,0.978667804
GPR15,0.467397594
GRK5,0.131100488
GRK6,0.342785668
MKNK2,0.582534157
GPS1,0.355417721
GPS2,0.616963112
GPX1,0.758260771
GPX4,0.662470808
GPX7,0.723101377
GRB2,0.506522038
RAPGEF1,0.846471414
GRN,0.703366182
GRINA,0.156852704
NR3C1,0.529802018
ARHGAP35,0.35156207
PDIA3,0.255663304
GRSF1,0.677837867
GSK3A,0.413873155
GSK3B,0.918638214
GSN,0.631638023
GSPT1,0.763496383
GSR,0.702467706
GSS,0.822642093
GSTM1,0.712473702
GSTM2,0.436956345
GSTM4,0.112506239
GSTP1,0.324487987
GSTZ1,0.73510677
MSH6,0.268550421
GTF2A1,0.672326413
GTF2A2,0.112016258
GTF2B,0.769983278
GTF2E1,0.362744801
GTF2E2,0.665906546
GTF2F1,0.396631015
GTF2F2,0.610345866
GTF2H1,0.932829338
GTF2H2,0.475624219
GTF2H3,0.547008716
GTF2H4,0.555609113
GTF2I,0.865265607
GTF2IP1,0.888559956
GTF3A,0.768165753
BRF1,0.742345823
GTF3C1,0.44293592
GTF3C2,0.731307415
GUCY1A1,0.027069753
GUCY1B1,0.020323062
GUK1,0.146620828
GUSB,0.603235518
GYG1,0.723004714
GYPC,0.502007693
GYS1,0.491390877
H1-2,0.66050995
H1-3,0.790350951
H1-4,0.357638715
H1-5,0.809171788
H2AC8,0.750312992
H2AC7,0.941890081
H2AX,0.370694473
H2AZ1,0.719157648
H2BC5,0.435546498
H2BC3,0.752798786
H3-3A,0.067253911
H3-3B,0.192864866
HSD17B10,0.541907102
HAGH,0.445209869
HADHA,0.301958501
HADHB,0.637655954
HADH,0.969890101
HARS1,0.389569468
HCCS,0.828093829
HCFC1,0.369960637
HCK,0.45643052
HCLS1,0.203303774
HTT,0.702798234
HDAC1,0.777986041
HDAC2,0.506137631
HDGF,0.106676056
HDLBP,0.553120913
HELLS,0.54747283
NCKAP1L,0.402923454
HEXA,0.608248028
HEXB,0.081253619
HIC1,0.842567043
HIF1A,0.508565076
UBE2K,0.825597006
HINT1,0.340714267
HIVEP1,0.834122255
HIVEP2,0.265453436
HK1,0.561721137
HK2,0.184674799
ZBTB48,0.549828461
HLA-A,0.336829582
HLA-B,0.529012374
HLA-C,0.648256765
HLA-DMA,0.516124183
HLA-DMB,0.545960749
HLA-DOA,0.384050092
HLA-DOB,0.854719382
HLA-DPA1,0.538947815
HLA-DPB1,0.790733319
HLA-DQA1,0.041327679
HLA-DQA2,0.939879446
HLA-DQB1,0.195570257
HLA-DQB2,0.881822912
HLA-DRA,0.241483289
HLA-DRB1,0.262879359
HLA-DRB5,0.52969722
HLA-DRB6,0.949876311
HLA-E,0.764483742
HLA-F,0.704848521
HLA-H,0.529567235
MR1,0.174094121
HMBS,0.267215544
HMGB1,0.623683453
HMGB2,0.992980104
HMGB3,0.265689496
HMGN1,0.448605179
HMGN2,0.858548572
HMGCL,0.585578506
HMGCR,0.536814954
HMGCS1,0.912583153
HMGA1,0.476050714
HMMR,0.420375439
HMOX1,0.914809747
HMOX2,0.261134838
HMX2,0.907286491
HNRNPA1,0.103189512
HNRNPA2B1,0.022981737
HNRNPAB,0.846291037
HNRNPC,0.31383746
HNRNPD,0.304418158
HNRNPF,0.780826032
HNRNPH1,0.396718065
HNRNPH2,0.011070083
HNRNPH3,0.143438485
HNRNPK,0.705019126
HNRNPL,0.361701454
HNRNPU,0.118403663
HOXB4,0.291765914
HPCAL1,0.155534614
HPRT1,0.952805986
HPS1,0.843028642
HRAS,0.442763694
AGFG1,0.892915269
AGFG2,0.398106379
PRMT2,0.817105717
PRMT1,0.349979758
HES1,0.716895897
HSBP1,0.618000839
HSD17B4,0.024245294
HSF1,0.304371388
HSF2,0.508171115
DNAJB2,0.830246087
DNAJA1,0.169667886
HSPA1A,0.457134514
HSPA1B,0.44811071
HSPA4,0.23963705
HSPA5,0.292756568
HSPA8,0.28079878
HSPA9,0.343973429
HSPB1,0.74081273
HSP90AA1,0.021586502
HSP90AB1,0.362734844
HSP90AB3P,0.093592063
HSPD1,0.377087512
HSPE1,0.980806294
DNAJB1,0.802510619
DNAJC4,0.603556184
NDST1,0.542895354
FOXN2,0.224159927
HUS1,0.56961299
IARS1,0.552904092
ICAM1,0.688778303
ICAM2,0.664162476
ICAM3,0.781656315
IRF8,0.3812147
MRPL58,0.968297318
ID2,0.840546829
ID3,0.343845499
IDE,0.899795838
IDH1,0.234646125
IDH2,0.699273487
IDH3A,0.14645846
IDH3B,0.435894677
IDH3G,0.488919544
IDI1,0.700677224
IDS,0.408922482
IFI16,0.691728155
IFI27,0.420320715
IFI35,0.704716448
SP110,0.490868576
IFIT2,0.965827093
IFIT1,0.526093473
IFIT3,0.900966566
IFNAR1,0.623601292
IFNAR2,0.888943518
IFNGR1,0.991619618
IFNGR2,0.259022392
IFRD1,0.744320795
IGBP1,0.639177562
IGF2R,0.973791619
IGHA1,0.710707418
IGHA2,0.689347767
IGHD,0.716585393
IGHE,0.252333763
IGHG1,0.779736322
IGHG2,0.740669551
IGHG3,0.478386316
IGHG4,0.721258436
IGHGP,0.809872226
IGHM,0.930746176
IGHMBP2,0.823940002
JCHAIN,0.947456979
IGKC,0.245908324
RBPJ,0.702062227
IGLC1,0.238446559
IGLC2,0.312113117
IGLC3,0.407716605
IGLC6,0.334313826
IK,0.003034832
IKBKB,0.82117136
IL2RB,0.312935271
IL2RG,0.428701589
IL3RA,0.802862133
IL4R,0.747743273
IL6R,0.216027341
IL6ST,0.360705949
IL10,0.865316043
IL10RA,0.443941684
IL10RB,0.080720649
IL12RB1,0.201919631
IL15,0.64243291
IL15RA,0.956881062
IL16,0.644718007
FOXK2,0.867613717
ILF2,0.887498144
ILF3,0.142369661
ILK,0.76906768
IMPA1,0.650408611
IMPA2,0.833683449
IMPDH1,0.612761495
IMPDH2,0.955015814
INCENP,0.306415486
ING1,0.649181268
CXCL10,0.615604457
INPP1,0.160557163
INPP4A,0.952862739
INPP5A,0.896331428
INPP5B,0.799058377
INPP5D,0.357946328
INPPL1,0.227909748
INSIG1,0.83884274
INSR,0.710065358
EIF3E,0.898009061
IPP,0.008929155
IRAK1,0.434983036
IREB2,0.476013585
IRF1,0.309177989
IRF2,0.579307673
IRF3,0.301246338
IRF4,0.636970072
IRF5,0.897806875
IRF7,0.49992552
ISG20,0.472214733
ITGA4,0.848122901
ITGAL,0.871664649
ITGAV,0.363656967
ITGB1,0.977410046
ITGB2,0.383734341
ITGB3,0.69204736
EIF6,0.977300858
ITGB7,0.889868147
ITGB8,0.357363675
STT3A,0.413076631
ITPA,0.537209239
ITPK1,0.222986682
ITPKB,0.382610215
ITPR1,0.897078605
ITPR2,0.076880459
ITPR3,0.067727511
IVD,0.373130313
JAK1,0.198432165
JAK2,0.538261883
JAK3,0.470698788
JARID2,0.586396398
JUN,0.145503265
JUNB,0.1527248
JUND,0.409254355
JUP,0.650955071
CD82,0.988942448
KARS1,0.89433359
KCNA3,0.421484765
KCND2,0.599869263
KCNK1,0.181513548
KCNN3,0.647857419
KCNN4,0.647156536
KIF2A,0.882983231
KIF5B,0.137571006
KLC1,0.276524077
KIF11,0.859821003
KIFC1,0.411528107
KIF22,0.318136504
KPNA1,0.524190482
KPNB1,0.599355596
KPNA2,0.837687489
KPNA3,0.741654097
KPNA4,0.397399364
TNPO1,0.669353595
IPO5,0.307020972
KRAS,0.752194289
KTN1,0.040580153
LAMC1,0.432069489
LAMP1,0.641677132
LAMP2,0.946838321
RPSA,0.895512111
STMN1,0.930847932
LASP1,0.997093992
LBR,0.125523553
LCK,0.275369144
LCP1,0.49510311
LCP2,0.916872531
LDHA,0.853091667
LDHB,0.230176085
LDLR,0.83660428
LETM1,0.27035676
LGALS1,0.535586051
LGALS3,0.258160687
LGALS3BP,0.810253096
LGALS8,0.307402436
LGALS9,0.91941549
LIG1,0.424483649
LIG3,0.52303773
LIG4,0.926644634
ABLIM1,0.414657821
LIMK1,0.820530137
LIMK2,0.105208791
LIMS1,0.204281481
LIPA,0.174549879
FADS1,0.629725058
LMAN1,0.765569286
LMNA,0.910889779
LMNB1,0.501703063
LMO2,0.220059201
PRICKLE3,0.729053531
LMO7,0.030053735
LNPEP,0.383257884
LRMP,0.871954873
LRCH4,0.169390336
LRP5,0.163523737
LRPAP1,0.647967503
LSP1,0.987185684
LSS,0.409476379
LTA4H,0.303584435
LTA,0.478864699
LTB,0.187788233
LY6E,0.692729104
LY9,0.072677941
CD180,0.24372014
LY75,0.782043263
LYL1,0.86638978
LYN,0.433080142
M6PR,0.657142193
CAPRIN1,0.841094066
NBR1,0.31001681
MARCKS,0.609869566
MAD2L1,0.426350495
SMAD1,0.936127326
SMAD2,0.510271226
SMAD3,0.689333829
SMAD4,0.713805744
SMAD5,0.493469777
SMAD7,0.797273986
MAFG,0.888518599
MAGOH,0.358662453
MAL,0.371623583
MAN1A1,0.535054832
