,p value
APEH,0.485481881
APEX1,0.237491701
BIRC2,0.254273351
BIRC3,0.871717575
XIAP,0.518842286
BIRC5,0.212461133
APLP2,0.79612672
APOC1,0.807924026
APP,0.340068327
APRT,0.323083955
FAS,0.965001052
AQP3,0.70462993
AQP9,0.442426811
ARAF,0.799069641
ARCN1,0.263130612
TRIM23,0.889162311
ARF1,0.550060666
ARF3,0.373304669
ARF4,0.964549744
ARF5,0.631365478
ARF6,0.256219852
ARG2,0.782331286
RHOA,0.545034873
RHOB,0.325613928
RHOC,0.624945662
RND3,0.598463508
RHOG,0.583209907
ARHGAP1,0.156873194
ARHGAP4,0.090377812
ARHGAP5,0.361360602
ARHGAP6,0.478316443
ARHGDIA,0.232214186
ARHGDIB,0.841865728
RHOH,0.352746947
ARL1,0.761030463
ARL2,0.659841538
ARL3,0.386496053
ARNT,0.892100232
ARNTL,0.754785877
ARRB1,0.79743132
ARRB2,0.022996288
ARSA,0.953014125
ARSB,0.698062973
STS,0.18430008
ARSD,0.015678336
ARVCF,0.255964385
ASAH1,0.149664485
ASCL1,0.826255704
ASL,0.380604685
GET3,0.286160449
ASNS,0.324764244
ASPA,0.939274683
ASPH,0.653134854
ASS1,0.597789135
ZFHX3,0.869504768
ATF1,0.278218174
ATF3,0.152513884
ATF4,0.067425606
ATIC,0.12160308
ATM,0.462621841
RERE,0.939795452
ATOX1,0.291443745
ATP1A1,0.206176564
ATP1A3,0.044496844
ATP1B1,0.815563318
ATP1B3,0.953147006
ATP1B1P1,0.489261808
FXYD2,0.978688627
ATP2A1,0.120665302
ATP2A2,0.703757098
ATP2A3,0.241038452
ATP2B1,0.907926113
ATP2B4,0.41041646
ATP5F1A,0.965318284
ALDH7A1,0.127170725
ATP5F1B,0.379607691
ATP5F1C,0.68119917
ATP5F1D,0.604812271
ATP5F1E,0.433929323
ATP5PB,0.975608911
ATP5MC1,0.644151268
ATP5MC2,0.300384437
ATP5MC3,0.763080268
ATP5ME,0.529725772
ATP5PF,0.071394519
ATP6V1A,0.366665795
ATP6V1B2,0.50320752
ATP6V0C,0.354234266
ATP6V1C1,0.751018051
ATP6V1E1,0.958392923
ATP6V0B,0.095710188
ATP6V1G2,0.142095255
ATP6V0A1,0.8081354
ATP6AP1,0.281588565
ATP7A,0.399998775
ATP5PO,0.732565013
ATP7B,0.639270095
ATR,0.284953769
ATRX,0.035939004
AUH,0.182811622
AUP1,0.130255945
B2M,0.676594391
BACH1,0.77748275
BAD,0.786158797
BAG1,0.438366125
BAK1,0.260209488
BARD1,0.221114688
BAX,0.416939788
BBS1,0.301397505
BBS2,0.334217004
BBS4,0.132264629
BCAT1,0.335508475
BCAT2,0.621296345
BCKDHA,0.018953359
BCKDHB,0.741744734
CCND1,0.4002477
BCL2,0.820578965
BCL2A1,0.69916001
BCL2L1,0.691052545
BCL2L2,0.059636028
BAK1P1,0.107958316
BCL3,0.602389997
BCL7A,0.820956036
BCL9,0.61171831
TNFRSF17,0.57018496
BCR,0.891117881
BCS1L,0.523451351
BCYRN1,0.875964466
BCYRN1P1,0.408316022
BDH1,0.673120104
CEACAM1,0.844156327
BICD1,0.180230342
BID,0.884299987
BIK,0.01632046
PRDM1,0.732428689
BLK,0.84655205
BLM,0.670998117
BLMH,0.752556558
CXCR5,0.548561715
BLVRA,0.226515746
BLVRB,0.987744572
BMI1,0.807002951
BMP1,0.528587721
BMP2,0.61073336
BMP3,0.800165581
BMP4,0.581291515
BMP6,0.649716104
BMP8B,0.285564109
BMPR1A,0.062150107
BMPR2,0.658005609
POLR3D,0.237586543
BNIP1,0.729321426
BNIP2,0.911934119
BNIP3,0.133619236
BNIP3L,0.434482286
DST,0.800602511
BPGM,0.662028442
BPHL,0.825625363
BRCA1,0.082360762
BRAF,0.648176884
BRCA2,0.837675912
ZFP36L1,0.152508341
ZFP36L2,0.535518041
BSG,0.653877624
BST2,0.205176852
BTD,0.14684002
KLF9,0.969842355
KLF5,0.271124594
BTF3,0.70034162
BTG1,0.767110933
BTK,0.207393795
BTN1A1,0.300307373
BUB1,0.727406535
BUB1B,0.789585813
BYSL,0.436961065
TSPO,0.47089717
C1QBP,0.989914067
C1R,0.514927545
C4A,0.274826384
C4B,0.529517602
C5,0.072136185
C5AR1,0.477086705
OSGIN2,0.915965612
VPS51,0.124225173
MRPL49,0.991166964
ZNHIT2,0.144841392
MYRF,0.851063455
TMEM258,0.450494247
FMNL1,0.291652533
LDLRAD4,0.567547793
PTTG1IP,0.919800515
CFAP410,0.767072348
TMEM50B,0.402179963
CA2,0.850783394
CA11,0.97438095
CACNA1A,0.602862759
CACNA1D,0.483769603
CACNA1E,0.688138938
DDR1,0.863359195
CACNB1,0.738274732
CACNB2,0.317072015
CACNB3,0.301721506
CACNB4,0.402723685
SLC25A20,0.921196746
CAD,0.657487045
CALD1,0.951570462
CALM1,0.913113247
CALM2,0.558860205
CALM3,0.778065212
CALR,0.9021527
CALU,0.709556752
CAMK4,0.623319377
CAMK2D,0.452132832
CAMK2G,0.492053833
CAMLG,0.669860393
CAMP,0.580042591
CANX,0.784072093
CAPG,0.189604007
CAPN1,0.810936122
CAPN2,0.34918536
CAPN3,0.735093521
CAPNS1,0.427158209
CAPS,0.393070975
CAPZA1,0.949017222
CAPZA2,0.103528083
CAST,0.383499345
CAPZB,0.850232103
CARS1,0.915070284
CASP1,0.583592291
CASP2,0.043895086
CASP3,0.70087499
CASP4,0.911944499
CASP6,0.173993635
CASP7,0.342636644
CASP8,0.675856851
CASP9,0.319565247
CASP10,0.919791949
CAT,0.557008833
CAV1,0.34136367
CAV2,0.222811165
RUNX1,0.817453539
CBFA2T3,0.165657393
RUNX3,0.38454493
CBFB,0.015069252
CBL,0.727495778
CBLB,0.406904242
SERPINH1,0.921612303
CBR1,0.741025558
CBS,0.799556033
KYAT1,0.215711053
KRIT1,0.057804324
CCNA2,0.295503301
CCNB1,0.643328007
CCNC,0.220668065
CCND2,0.696098741
CCND3,0.045264412
CCNE1,0.743514586
CCNF,0.020003045
CCNG1,0.901989828
CCNG2,0.518673088
CCNH,0.522169007
CCNT1,0.39442992
CCNT2,0.444994127
CCT6A,0.824899739
CD1C,0.526127687
CD6,0.533795263
CD9,0.22081269
CD19,0.82169731
MS4A1,0.68554088
CD22,0.96503128
CD24P4,0.728783035
CD27,0.108065647
CD28,0.109890314
CD80,0.607355897
CD86,0.356166047
TNFRSF8,0.502127326
TNFSF8,0.882333751
CD33,0.644347607
SIGLEC6,0.823725157
CD36,0.645235536
SCARB1,0.815878796
SCARB2,0.593415834
CD37,0.602418818
CD38,0.808682045
ENTPD1,0.761533472
ENTPD2,0.900898679
ENTPD6,0.428591626
ENTPD5,0.957762787
CD40,0.910409961
CD44,0.122944065
CD47,0.770341226
CD48,0.502002594
CD53,0.643928338
CD58,0.76947439
CD59,0.573148332
CD63,0.291861627
CD68,0.847967182
CD69,0.30614652
CD70,0.44411332
CD72,0.697432263
CD74,0.458309199
CD79A,0.864909244
CD79B,0.993435767
CD81,0.791081078
ADGRE5,0.515589163
CD151,0.590520759
CDK1,0.314921116
CDK11B,0.362922324
LRBA,0.305537173
CDC5L,0.393874395
SEPTIN7,0.981841025
CDC6,0.829115485
CDC20,0.856464819
CDC25A,0.347098578
CDC25B,0.224870417
CDC25C,0.816155637
CDC27,0.787551794
CDC34,0.834359224
CDC42,0.421525988
CDH1,0.406190112
CDH2,0.861309226
CDH17,0.837163407
CDK2,0.940917807
CDK4,0.419099593
CDK5,0.963814394
CDK6,0.451319877
CDK7,0.540677326
CDK8,0.652577386
CDK9,0.386869285
CDKN1A,0.791714992
CDKN1B,0.862301963
CDKN2A,0.726242417
CDKN2C,0.65006641
CDKN2D,0.189808033
CDKN3,0.245404811
CDR2,0.714777098
CD52,0.417975894
CLGN,0.420346917
CEBPB,0.162231083
CEBPD,0.369287782
CEBPG,0.944539791
CEL,0.92380884
CENPA,0.390146346
CENPB,0.347930165
CENPC,0.343414296
CENPE,0.526496383
CENPF,0.616483505
CETN2,0.003561843
CETN3,0.188891568
CETP,0.784056996
CFL1,0.55649075
CFL2,0.538118296
CTSC,0.849178807
RCBTB2,0.584066541
RCC1,0.270153809
CHD1,0.291758398
CHD2,0.371228871
CHD3,0.965395021
CHD4,0.416798027
CHEK1,0.864428611
FOXN3,0.508621626
CHI3L1,0.541534321
CHI3L2,0.080046612
CHKA,0.402883351
CHKB,0.809367812
CHM,0.047359335
CHML,0.750251065
LYST,0.884155428
CHRNA5,0.697869081
CHRNB1,0.470308181
CHUK,0.510449912
CKB,0.628683278
CIRBP,0.680491482
CISH,0.175023033
TBCB,0.287981146
ERCC8,0.339468927
CKS1B,0.407035557
CKS2,0.156685447
AP2M1,0.647923227
AP1S1,0.567730307
AP2S1,0.619159904
AP3S1,0.849584846
CLCN2,0.818583674
CLCN3,0.191181192
CLCN4,0.170503765
CLCN5,0.34976125
CLCN6,0.572929689
CLCN7,0.28304076
CLU,0.996183599
CLIC1,0.746617287
CLIC2,0.489943529
CLK1,0.089981953
CLK2,0.185975983
CLK3,0.12459225
TPP1,0.253333393
CLN3,0.252717946
CLN5,0.460857417
CLNS1A,0.193850844
CLPTM1,0.383107775
CLTA,0.234112366
CLTB,0.098784605
CLTC,0.668054552
CMA1,0.732652088
CCR1,0.966219205
CCR4,0.548591443
CCR6,0.754889744
CCR7,0.111400428
CCR8,0.825381339
CMKLR1,0.780723792
LTB4R,0.359372664
ABCC2,0.865986295
PLK3,0.247332173
CNN2,0.548256527
CNN3,0.143808491
CNP,0.393883828
CNR1,0.807484823
CNR2,0.704999077
CNTF,0.660512938
COL1A1,0.081030718
COL4A2,0.18975067
COL4A3,0.948547349
COL4A4,0.541182639
COL5A1,0.366555339
COL5A2,0.942264595
COL6A1,0.506803276
COL7A1,0.909675704
COL9A2,0.549444086
COL11A2,0.384117367
COL16A1,0.442399815
COL19A1,0.522928348
COMT,0.377910439
COPA,0.281362749
COPB1,0.380781557
KLF6,0.069619019
SLC31A1,0.580763534
MAP3K8,0.786177709
COX4I1,0.875430121
COX5B,0.669395881
COX6A1,0.995452986
COX6B1,0.591307158
COX6C,0.48157605
COX7A2,0.509546152
COX7B,0.994556409
COX7C,0.33660386
COX8A,0.753555265
COX10,0.554915413
COX11,0.266062089
COX15,0.773748892
CPD,0.114076431
CPM,0.54840119
CPOX,0.445686201
CPS1,0.909880397
CPT1A,0.346839018
CPT1B,0.218310795
CPT2,0.882424702
CR1,0.580578216
CR2,0.337018624
CRAT,0.910826999
CREB1,0.150312197
ATF2,0.994335091
CREBBP,0.561642637
ATF6B,0.752839634
CREBL2,0.576165144
CREM,0.242424517
CRIP1,0.593080659
CRK,0.765144055
CRKL,0.447639276
CRY1,0.472592292
CRY2,0.768190685
CRYBB2P1,0.606747444
CRYGS,0.146096964
CRYM,0.435843249
CRYZ,0.866555361
CS,0.843630357
MAPK14,0.282954343
CSE1L,0.881689078
CSF1,0.670903926
CSF2RB,0.45234102
CSK,0.17253187
CSNK1A1,0.024429089
CSNK1D,0.057558733
CSNK1E,0.702072745
CSNK1G2,0.035303418
CSNK1G3,0.865110571
CSNK2A1,0.96538955
CSNK2A2,0.576351503
CSNK2B,0.872338432
VCAN,0.25785339
NCAN,0.886407877
CSPG4,0.186134864
CSRP1,0.108928168
CSRP2,0.068043689
CSRP2P1,0.411682825
SLC25A10,0.433948422
CST3,0.548772512
CSTB,0.621091827
CSTF1,0.115187317
CSTF2,0.239878037
CSTF3,0.021256752
CTBS,0.542799742
CTBP1,0.166946474
CTBP2,0.712329204
CTH,0.656933936
CTNNA1,0.650247538
CTNNA2,0.35947312
CTNS,0.94877283
CTNNB1,0.391168156
CTNND1,0.109189395
CTPS1,0.986784661
CTRL,0.002457007
CTSB,0.832477573
CTSD,0.590708622
CTSH,0.345066154
CTSK,0.225122128
CTSO,0.311542185
CTSS,0.841427687
CTSW,0.751424381
CTSZ,0.873438087
CUX1,0.058730674
CXADR,0.623333654
CYB5A,0.667914003
CYB561,0.809432035
CYBA,0.366809365
CYBB,0.867312167
CYC1,0.044920072
CYLD,0.934869708
CYP1A1,0.255066684
CYP1B1,0.670500704
CYP2D7,0.628375125
CYP2J2,0.752476785
CYP27A1,0.78546978
CYP27B1,0.008954319
CYP51A1,0.260677999
DAD1,0.887566713
CD55,0.872674904
DAG1,0.194516094
DGKA,0.629277274
DGKG,0.06744016
DGKQ,0.36925641
DAP,0.514723493
DAPK1,0.309254469
DAPK3,0.199332432
DARS1,0.210110481
DAXX,0.024333975
DAZL,0.76569251
DBI,0.398714926
DBN1,0.926954579
DBP,0.086199518
DBT,0.770705843
ECI1,0.713055837
DCK,0.178048605
DCTD,0.173378238
DCTN1,0.826343502
DDB1,0.515885059
DDB2,0.849548282
GADD45A,0.643573466
DDIT3,0.787519136
DDOST,0.95601142
DDT,0.327077506
DDX1,0.263901809
DDX3X,0.308799349
DDX5,0.12037829
DDX6,0.213828869
DMXL1,0.736355187
DHX8,0.871207029
DHX9,0.454198097
DDX10,0.569675001
DDX11,0.14538775
DHX15,0.757126869
DECR1,0.655761034
DFFA,0.32445459
DFFB,0.657746812
TIMM8A,0.844612131
GSDME,0.884223016
COCH,0.297426976
DGUOK,0.201735874
DHCR7,0.585001393
DHCR24,0.801185038
DHFR,0.418625839
DHODH,0.495384866
DHPS,0.897039869
CYB5R3,0.525758143
NQO1,0.945640272
DIAPH1,0.548442891
DIAPH2,0.635874655
SEPTIN1,0.40246365
DKC1,0.158589265
DLAT,0.476181205
DLD,0.169849188
DLG1,0.099055689
DLG2,0.350917994
DLG3,0.877622434
DLG4,0.807926732
DLST,0.531935488
DLSTP1,0.800560927
DMD,0.845444219
DMPK,0.965960316
DMWD,0.809198914
DNA2,0.571529228
DNAH6,0.683805586
DNAH8,0.526082891
DNASE1,0.319862562
DNASE1L1,0.92221625
DNASE1L2,0.052811691
DNASE1L3,0.846677356
DNASE2,0.894904665
DYNC1H1,0.973819287
DYNC1I2,0.029603671
DYNC1LI2,0.175068171
DNM2,0.096442384
DNMT1,0.323033648
TRDMT1,0.259507916
DNMT3A,0.903222117
DNMT3B,0.066241433
DOCK2,0.857410817
DOK1,0.44255648
DXO,0.189184942
DPAGT1,0.639068199
DPH1,0.897578468
DPH2,0.356455356
DPP4,0.143749878
DPYD,0.196684059
DPYSL2,0.769226732
DPYSL3,0.996260119
DR1,0.468277105
DRG2,0.057328483
ARID3A,0.047358953
ATN1,0.606761397
DSC2,0.164960672
DSC3,0.126984392
RCAN1,0.271143534
DSG2,0.757707914
TSC22D3,0.968809271
SLC26A2,0.627633982
DTNB,0.652128276
HBEGF,0.14521782
DTX1,0.47801353
DTYMK,0.899226875
DUSP1,0.331089513
DUSP2,0.397310671
DUSP3,0.481659887
DUSP4,0.446932032
DUSP5,0.572314438
DUSP6,0.375082547
DUSP7,0.1603679
DUT,0.274008556
DVL1,0.189383951
DVL2,0.516482722
DVL3,0.930968255
DYRK1A,0.511196961
TOR1A,0.09651845
E2F1,0.029151343
E2F2,0.179692763
E2F3,0.839871264
E2F4,0.404552625
E2F5,0.059914806
E2F6,0.236767901
E4F1,0.112008555
EBF1,0.81545238
GPR183,0.458551681
ECE1,0.984283191
TYMP,0.596211053
ECH1,0.803035321
ECHS1,0.702281179
ECM1,0.323157854
ECT2,0.79109214
S1PR1,0.964862794
LPAR1,0.99550785
EDN1,0.822915062
EDNRA,0.647988685
EDNRB,0.660378905
PHC1,0.384494255
PHC2,0.794985775
EEF1A1,0.341427531
EEF1A2,0.983931069
EEF1A1P43,0.597008365
EEF1B2,0.382501541
EEF1D,0.43053479
EEF1G,0.862666723
EEF2,0.163596379
EIF2D,0.753110682
EFNA1,0.534535335
EFNA3,0.365462109
EFNA4,0.565902964
EFNA5,0.827198343
EFNB1,0.511035119
EFNB2,0.908500696
CELSR3,0.722561556
CELSR2,0.197783051
MEGF6,0.811921749
MEGF8,0.382700053
MEGF9,0.292915287
EGR1,0.83780283
EGR2,0.891006959
EGR3,0.11936884
EHHADH,0.106260145
EIF1AX,0.655675935
EIF2S1,0.206668853
EIF2B1,0.707947518
EIF2S3,0.771902937
EPHA2,0.7535975
EIF4A1,0.539945593
EIF4A2,0.245476698
EIF4B,0.35742434
EIF4E,0.251529595
EIF4EBP1,0.358144464
EIF4EBP2,0.139492437
EIF4G1,0.26992297
EIF4G2,0.583120249
EIF5,0.886260618
EIF5A,0.192726118
SERPINB1,0.486147252
ELAVL1,0.746235964
ELF1,0.543678804
ELF2,0.948099457
ELF3,0.816609652
ELF4,0.895963074
ELK1,0.565147098
ELK3,0.025807487
ELK4,0.38154976
EMD,0.268622977
MARK2,0.620528358
EMP1,0.053799237
EMP3,0.927717094
ADGRE1,0.157140834
EMX1,0.402655533
CTTN,0.230316085
ENDOG,0.490215104
ENG,0.388450247
ENO1,0.565168911
ENO2,0.837480972
ENO3,0.286717244
ENSA,0.720251933
SLC29A1,0.749611619
EP300,0.896791483
EPAS1,0.212222685
EPB41,0.693584606
EPB41L2,0.165767335
STOM,0.361212637
EPHA4,0.851388006
EPHB1,0.377256941
EPHB2,0.467559075
EPHB4,0.326466763
EPHB6,0.307567089
EPHX1,0.208813329
EPHX2,0.936876278
STX2,0.62739576
CLN8,0.729772666
EPOR,0.647287511
EPRS1,0.632114174
EPS8,0.786103636
EPS15,0.44109588
NR2F6,0.17965941
ERBB2,0.603071528
ERCC1,0.669740894
ERCC2,0.137381404
EREG,0.711914457
ERCC3,0.311181136
ERCC4,0.580692325
ERCC5,0.338468362
ERCC6,0.515895701
ERF,0.132826454
ERH,0.55114258
ERN1,0.876853502
ERV3-1,0.626741009
FBL,0.465640288
ESD,0.704897612
ESR2,0.891658697
ESRRA,0.613530589
ETF1,0.911617585
ETFA,0.770614789
ETFB,0.835657619
ETFDH,0.296178299
ETS1,0.920959917
ETS2,0.598598671
ETV3,0.871000161
ETV4,0.929440701
ETV5,0.99028015
ETV6,0.486568592
EVC,0.60732314
EVI2A,0.525255582
EVI2B,0.831383176
EWSR1,0.918833186
EXT1,0.811138533
EXT2,0.364619354
EXTL2,0.67787227
EXTL3,0.075755014
EYA2,0.783134706
EYA3,0.034304451
EZH1,0.258819471
EZH2,0.335499203
F2R,0.710532287
F5,0.994070131
F8,0.926110865
F12,0.919117249
F13A1,0.184178667
FAAH,0.062274474
FABP3,0.515732146
FABP5,0.886252913
FANCA,0.066545601
FANCC,0.131508685
FANCD2,0.807025803
FANCE,0.374220107
ACSL1,0.912712405
ACSL3,0.700228023
ACSL4,0.149675046
FAH,0.880630708
PTK2B,0.377630958
BPTF,0.140676986
FANCB,0.923592112
FANCF,0.101568003
FANCG,0.889137833
FARSA,0.046224663
FASN,0.057728989
FAT1,0.330051305
FAU,0.854276672
FBN1,0.97832596
FBN2,0.225935846
FCER2,0.589484676
FCGR2A,0.866561758
FCGR2B,0.340613376
FCGRT,0.416006774
FKTN,0.763195357
FDFT1,0.890337361
FDPS,0.284294134
FDX1,0.762991063
FDXR,0.659209028
FECH,0.948762376
FEN1,0.918856894
GPC4,0.066118066
FER,0.570778149
FES,0.763641263
FGF2,0.783612436
FGF11,0.033447479
FGFR1,0.530290194
GPC5,0.090927421
FGFR4,0.67860299
FGR,0.085972768
FH,0.400461122
FHIT,0.825219953
FHL1,0.262105976
FHL2,0.696757938
FHL3,0.924949496
FKBP1A,0.693066577
FKBP2,0.644457455
FKBP3,0.039843519
FKBP4,0.696844907
FKBP5,0.315747787
FOXG1,0.333043947
FOXC1,0.518484827
FOXM1,0.499290917
FOXO1,0.303751605
FOXO3,0.947257612
FOXO3B,0.629710133
FLI1,0.411242895
FLII,0.907597999
FLNA,0.859234074
FLNB,0.153884654
FLOT2,0.554839807
FLT1,0.973017889
FLT3,0.686873711
FLT3LG,0.180146849
FMO4,0.977702285
FMO5,0.848365868
FMR1,0.658178391
FN1,0.041261864
FNTA,0.009350301
FNTB,0.143665772
FOS,0.828369033
FOSB,0.690054433
FOSL2,0.853180037
FPGS,0.296124604
FXN,0.30442782
FRK,0.778479772
MTOR,0.119545724
FRG1,0.356893498
CENPI,0.688718271
FTH1,0.68257214
FTH1P2,0.492788059
FTH1P7,0.377379544
FTH1P8,0.931602518
FTH1P10,0.300373734
FTH1P16,0.067355761
FTL,0.779777307
FUCA1,0.438435213
FUCA2,0.81196763
FUS,0.265704429
FUT4,0.386567737
FUT7,0.983099362
FUT8,0.949778051
KDSR,0.216925555
ACKR1,0.61507677
FYB1,0.205520046
FYN,0.175947738
IFI6,0.72806207
G6PD,0.924112081
SLC37A4,0.603933406
XRCC6,0.034279266
GAA,0.673285573
GAB1,0.929982701
GABBR1,0.071975068
GABPA,0.022431498
GABPB1,0.818750103
GABRA4,0.150252737
GABRB2,0.149549566
GABRR2,0.137435579
GAD1,0.334411498
GAK,0.644160414
GALC,0.05894354
GALE,0.514124714
B4GALNT1,0.275770951
GALK1,0.244537685
GALK2,0.331066459
GALNS,0.540377786
GALNT1,0.641023404
GALNT2,0.632013204
GALNT3,0.224267165
GALT,0.195414229
GAMT,0.058481387
GANC,0.518151893
GAP43,0.6102828
GAPDH,0.610166144
GARS1,0.282158991
GART,0.499186135
GAS2,0.683629547
GAS6,0.830200914
GAS8,0.912456785
GATA3,0.15111461
GATA4,0.968858074
GATM,0.727981089
GBA,0.352717989
GBAP1,0.785169133
NIPSNAP2,0.737245569
GBE1,0.16167585
GBP1,0.253075185
GBP2,0.159194165
GBP3,0.24111538
GCDH,0.572330257
GCGR,0.880975743
GCH1,0.165180411
GCHFR,0.876388259
BLOC1S1,0.976454257
KAT2A,0.195262444
NR6A1,0.911949069
GCNT1,0.720430214
GCNT2,0.66072382
GCSH,0.283674358
GDI1,0.329746381
GDI2,0.65933258
GEM,0.478297382
GFER,0.017603588
GFI1,0.88320177
GFPT1,0.757045251
GGCX,0.180784998
GGT1,0.078833009
B4GALT1,0.882664058
GGT7,0.426769697
GHR,0.196446342
GIPR,0.235062833
GJA3,0.685416989
GJB2,0.391035397
GK,0.361137488
GLA,0.57516555
GLB1,0.201388569
GCLC,0.813267121
GCLM,0.162116603
GLDC,0.196916897
GLDCP1,0.500036629
GLE1,0.353324913
GLG1,0.512739855
GLI1,0.550488899
GLI4,0.026736097
GLO1,0.754984189
GLS,0.606839984
GLRX,0.639814054
GLUD1,0.840855952
GLUD2,0.512123993
GLUD1P3,0.801470906
GLUL,0.438266083
GM2A,0.8500945
GMDS,0.984363716
GMFB,0.277283706
GMPR,0.129294877
GNA11,0.749344963
GNA12,4.08E-05
GNA15,0.653781555
GNAI2,0.382267804
GNAI3,0.768139505
GNAQ,0.193507691
GNAS,0.881273921
GNAZ,0.968134769
GNB1,0.353525452
GNB2,0.387690872
GNG5,0.788838616
GNG7,0.400582789
GNG10,0.005231554
GNG11,0.280534284
GNGT2,0.148862683
GNL1,0.872386527
GNRH1,0.717678747
GNS,0.781438071
GOLGA1,0.744412234
GOLGA2,0.711192292
GOLGA3,0.797433167
GOLGA4,0.096105749
GOLGB1,0.026557788
GOT1,0.944712983
GOT2,0.700336971
SFN,0.934511422
GPC1,0.805839229
GPD2,0.330524068
GPI,0.285744178
GPLD1,0.536839456
GPM6A,0.780862215
CCR10,0.057866503
CXCR3,0.934854329
GPR15,0.545677396
GPR18,0.53214961
GPR19,0.382847717
GPR25,0.396927626
GPER1,0.275996355
GPR34,0.401010898
GPR35,0.387913959
FFAR1,0.18968106
FFAR2,0.612256288
GRK4,0.012335116
GRK5,0.111761571
GRK6,0.270043191
MKNK2,0.519715634
GPS1,0.105286145
GPS2,0.632616361
GPX1,0.7028369
GPX4,0.67886133
GPX7,0.786537175
GRB2,0.288857435
RAPGEF1,0.861975034
GRIA3,0.322335111
GRN,0.831391161
GRIK4,0.893541343
GRIN2A,0.874511231
GRINA,0.158104308
NR3C1,0.467487857
ARHGAP35,0.266916209
GRM3,0.487852772
GRM8,0.808254501
PDIA3,0.202969194
GRPR,0.513056992
GRSF1,0.632858917
GSK3A,0.22124087
GSK3B,0.907316008
GSN,0.728198427
GSPT1,0.857361458
GSR,0.641010206
GSS,0.803487679
GSTA4,0.511565101
GSTM1,0.932571268
GSTM2,0.394235064
GSTM3,0.977671055
GSTM4,0.103761765
GSTP1,0.337854165
GSTT1,0.049659932
GSTZ1,0.762289283
MSH6,0.208066639
GTF2A1,0.687760278
GTF2A2,0.061144225
GTF2B,0.769978764
GTF2E1,0.349181821
GTF2E2,0.631375573
GTF2F1,0.208066029
GTF2F2,0.568659336
GTF2H1,0.97252301
