,p value
CDK2,0.960606405
CDK4,0.340604457
CDK5,0.817488981
CDK6,0.439123862
CDK7,0.410426894
CDK8,0.743705932
CDK9,0.46590852
CDKN1A,0.843872376
CDKN1B,0.725608781
CDKN2A,0.82746184
CDKN2C,0.971485442
CDKN3,0.298671092
CDR2,0.707456509
CD52,0.350870696
CEBPG,0.970014316
CENPA,0.406624144
CENPB,0.433244734
CENPC,0.449616297
CENPE,0.521547228
CENPF,0.578982723
CETN2,0.001790648
CETN3,0.123492584
CFL1,0.917856441
CTSC,0.994946127
RCBTB2,0.460612316
RCC1,0.309736768
CHD1,0.363534409
CHD2,0.590404484
CHD3,0.978084621
CHD4,0.468142464
CHEK1,0.879945073
FOXN3,0.484617727
CHI3L2,0.231401831
CHKA,0.331052447
CHKB,0.637150906
CHM,0.097519989
CHML,0.660224092
CHUK,0.507593952
CIRBP,0.238638591
TBCB,0.380436791
ERCC8,0.468044362
CKS1B,0.439711065
CKS2,0.113780743
AP2M1,0.671835244
AP1S1,0.57639386
AP2S1,0.591338534
AP3S1,0.850069449
CLCN3,0.120523035
CLCN7,0.280299673
CLIC1,0.797677253
CLIC2,0.716118572
CLK1,0.185582964
CLK2,0.224800479
CLK3,0.173985421
TPP1,0.253691157
CLN3,0.306596487
CLN5,0.659982425
CLNS1A,0.149323443
CLPTM1,0.455066857
CLTA,0.430885824
CLTB,0.089909067
CLTC,0.575133701
CCR6,0.651557722
CCR7,0.126270138
PLK3,0.342297406
CNN2,0.482694096
CNN3,0.153328296
CNP,0.385293107
CNR1,0.780846888
CNR2,0.926038422
COL9A2,0.536632077
COL19A1,0.648310089
COMT,0.499217694
COPA,0.202600849
COPB1,0.269922096
KLF6,0.063177115
SLC31A1,0.572272521
MAP3K8,0.849033207
COX4I1,0.654031659
COX5B,0.794115851
COX6A1,0.668009633
COX6B1,0.920342349
COX6C,0.573107353
COX7A2,0.408054597
COX7B,0.870115546
COX7C,0.578651621
COX8A,0.296728058
COX10,0.520951484
COX11,0.294934441
COX15,0.470711127
CPD,0.170096945
CPOX,0.462298668
CPT1B,0.308230807
CPT2,0.79295828
CR2,0.498344264
CREB1,0.121980032
ATF2,0.87820264
CREBBP,0.698583594
ATF6B,0.845302413
CREBL2,0.533150962
CREM,0.290035228
CRIP1,0.571488435
CRK,0.77990813
CRKL,0.490574339
CRY1,0.770172267
CRY2,0.704738283
CRYBB2P1,0.5144942
CRYZ,0.860615472
CS,0.698052195
MAPK14,0.297046455
CSE1L,0.863333906
CSF1,0.834556352
CSF2RB,0.531455229
CSK,0.269897608
CSNK1A1,0.016916461
CSNK1D,0.058193567
CSNK1E,0.605030808
CSNK1G2,0.048691391
CSNK1G3,0.839971012
CSNK2A1,0.662592215
CSNK2A2,0.649109888
CSNK2B,0.742031801
CSRP1,0.125640198
SLC25A10,0.48835819
CST3,0.952440724
CSTB,0.747462374
CSTF1,0.017274792
CSTF2,0.201689347
CSTF3,0.039435603
CTBP1,0.118871906
CTH,0.763275897
CTNNA1,0.685320745
CTNS,0.818661977
CTNNB1,0.465643265
CTNND1,0.127693703
CTPS1,0.830820701
CTSB,0.884411721
CTSD,0.522457453
CTSH,0.326522675
CTSO,0.195400085
CTSS,0.785961699
CTSZ,0.906621529
CUX1,0.329128428
CYB5A,0.81828312
CYBA,0.158631091
CYBB,0.958648228
CYC1,0.029504159
CYLD,0.897221503
CYP1B1,0.698265697
CYP51A1,0.274680066
DAD1,0.930759903
CD55,0.777174964
DAG1,0.216472966
DGKA,0.588424558
DGKQ,0.557538003
DAP,0.399857419
DAPK1,0.286235938
DAPK3,0.225842002
DARS1,0.171356733
DAXX,0.020943372
DBI,0.524252431
DBN1,0.879239143
DBT,0.40671931
ECI1,0.575088921
DCK,0.213453967
DCTD,0.200588781
DCTN1,0.993250648
DDB1,0.610489081
DDB2,0.987959527
GADD45A,0.593424679
DDIT3,0.840995814
DDOST,0.850442512
DDT,0.264804819
DDX1,0.193349748
DDX3X,0.298738585
DDX5,0.203099641
DDX6,0.186360968
DMXL1,0.914992673
DHX8,0.963147249
DHX9,0.373318382
DDX10,0.523583849
DDX11,0.14441565
DHX15,0.947200891
DECR1,0.74124028
DFFA,0.243965884
TIMM8A,0.751535207
GSDME,0.742583765
COCH,0.488257505
DGUOK,0.230485102
DHCR7,0.478597452
DHCR24,0.875774087
DHFR,0.331108108
DHODH,0.507644551
DHPS,0.982894611
CYB5R3,0.452204399
NQO1,0.901463013
DIAPH1,0.482503462
DIAPH2,0.799584015
SEPTIN1,0.48605743
DKC1,0.137748437
DLAT,0.538461513
DLD,0.136660662
DLG1,0.103849483
DLST,0.570763914
DMD,0.925505332
DMPK,0.988192269
DMWD,0.699166181
DNA2,0.610126717
DNASE1L1,0.864798235
DNASE1L3,0.829415661
DNASE2,0.79323093
DYNC1H1,0.971370776
DYNC1I2,0.034788286
DYNC1LI2,0.119763022
DNM2,0.128853136
DNMT1,0.315416934
DNMT3A,0.997600427
DOCK2,0.61992183
DOK1,0.431121765
DXO,0.22284115
DPAGT1,0.594754317
DPH1,0.917351114
DPH2,0.419442867
DPYD,0.07447858
DPYSL2,0.746181518
DR1,0.40630686
DRG2,0.105466434
ARID3A,0.04940166
RCAN1,0.400550643
DSG2,0.686550831
TSC22D3,0.898553579
DTYMK,0.936041062
DUSP2,0.521241951
DUSP4,0.373220861
DUSP5,0.735832769
DUSP7,0.179772757
DUT,0.267697475
DVL1,0.196787525
DVL2,0.577731529
DVL3,0.854306555
DYRK1A,0.466088997
TOR1A,0.053441714
E2F1,0.029259951
E2F2,0.092808879
E2F3,0.960600632
E2F4,0.45110892
E2F5,0.084349218
E2F6,0.163399085
E4F1,0.12976954
EBF1,0.91740843
GPR183,0.613761849
ECE1,0.87402026
TYMP,0.760442678
ECH1,0.661516587
ECHS1,0.585050428
ECT2,0.751153671
S1PR1,0.854469983
EDN1,0.964923521
PHC2,0.98936586
EEF1A1,0.272948218
EEF1B2,0.551483703
EEF1D,0.251889599
EEF1G,0.992832418
EEF2,0.065573512
EIF2D,0.660962516
MEGF8,0.665666068
EGR2,0.569272071
EIF1AX,0.702315484
EIF2S1,0.192533949
EIF2B1,0.951255474
EIF2S3,0.647195076
EIF4A1,0.590125202
EIF4A2,0.336005647
EIF4B,0.451354502
EIF4E,0.33254925
EIF4EBP1,0.380884627
EIF4EBP2,0.130503029
EIF4G1,0.272772648
EIF4G2,0.974647589
EIF5,0.841188559
EIF5A,0.163116764
SERPINB1,0.602391578
ELAVL1,0.628468935
ELF1,0.487327773
ELF2,0.753909757
ELF4,0.884085697
ELK1,0.461292399
ELK4,0.517086364
EMD,0.146821013
MARK2,0.533704669
EMP3,0.779694543
CTTN,0.166343693
ENDOG,0.717294908
ENO1,0.269831043
ENO2,0.917757079
ENO3,0.186259622
ENSA,0.595677743
SLC29A1,0.794775397
EP300,0.91705298
EPB41,0.807611443
EPB41L2,0.210155569
STOM,0.249366322
STX2,0.726858639
EPRS1,0.568558332
EPS8,0.57094254
EPS15,0.524078863
NR2F6,0.210628303
ERCC1,0.989726542
ERCC2,0.158537244
ERCC3,0.356419451
ERCC4,0.817623574
ERCC5,0.338050517
ERCC6,0.572167307
ERF,0.135274663
ERH,0.22109349
ERV3-1,0.261563249
FBL,0.436217128
ESD,0.553975107
ESRRA,0.828883312
ETF1,0.975963339
ETFA,0.669123604
ETFB,0.788218337
ETFDH,0.354560046
ETS1,0.957905694
ETV3,0.824571814
ETV5,0.985225857
ETV6,0.486695115
EVC,0.517917866
EVI2A,0.627245113
EVI2B,0.890663085
EWSR1,0.897611758
EXT1,0.654003256
EXT2,0.983048579
EXTL2,0.867304185
EXTL3,0.174926232
EYA3,0.029715076
EZH1,0.180090593
EZH2,0.272895479
F13A1,0.389874519
FABP5,0.857597291
FANCA,0.099912939
FANCC,0.103919367
FANCD2,0.875777071
FANCE,0.531492802
ACSL1,0.798657846
ACSL3,0.690787113
ACSL4,0.1522757
FAH,0.847262225
PTK2B,0.514354626
BPTF,0.16037748
FANCB,0.738658804
FANCF,0.11238761
FANCG,0.891705641
FARSA,0.056398037
FASN,0.070758872
FAU,0.643085443
FBN1,0.89441322
FCER2,0.578780038
FCGR2B,0.549518774
FKTN,0.810356764
FDFT1,0.852825644
FDPS,0.476563033
FDX1,0.942202389
FDXR,0.622916113
FECH,0.697689163
FEN1,0.810933507
FER,0.741875202
FES,0.710786083
FGR,0.08279865
FH,0.353035642
FHL3,0.453715126
FKBP1A,0.781720041
FKBP2,0.461151271
FKBP3,0.014843356
FKBP4,0.638588609
FKBP5,0.237666499
FOXM1,0.523082133
FOXO1,0.260260653
FLI1,0.422164102
FLII,0.725193895
FLNA,0.85973541
FLNB,0.241476056
FLOT2,0.541405099
FLT3LG,0.257423221
FMR1,0.573025667
FNTA,0.007727594
FNTB,0.17554514
FPGS,0.381380284
MTOR,0.11822041
FRG1,0.199968055
CENPI,0.628491091
FTH1,0.76846022
FTL,0.476661833
FUCA1,0.510790474
FUCA2,0.674719574
FUS,0.196870407
FUT8,0.982111238
KDSR,0.348639505
FYN,0.079621446
IFI6,0.974205478
G6PD,0.79647009
SLC37A4,0.546317
XRCC6,0.092873932
GAA,0.847133466
GABPA,0.026960942
GABPB1,0.660455463
GAK,0.793104027
GALE,0.578679572
GALK1,0.316954085
GALK2,0.348128352
GALNT1,0.494373509
GALNT2,0.709278068
GALT,0.492755213
GAMT,0.038333752
GANC,0.556576225
GAPDH,0.553694323
GARS1,0.280902022
GART,0.821100645
GAS2,0.304532142
GATM,0.819092266
GBA,0.305836255
GBAP1,0.821960884
NIPSNAP2,0.54877958
GBE1,0.165237061
GBP1,0.238734955
GBP2,0.206638545
GBP3,0.746244791
GCDH,0.675827449
GCH1,0.123504664
GCHFR,0.595117013
BLOC1S1,0.866789979
KAT2A,0.276235715
GCNT2,0.621707445
GCSH,0.346064218
GDI1,0.438222095
GDI2,0.731020214
GFER,0.02290242
GFI1,0.673782148
GFPT1,0.765012751
GGCX,0.176477338
GGT1,0.101105351
B4GALT1,0.905297139
GK,0.424271414
GLA,0.477150229
GLB1,0.260202966
GCLC,0.753241745
GCLM,0.120556528
GLDC,0.160782503
GLE1,0.246730037
GLG1,0.592470047
GLO1,0.719553648
GLS,0.778557018
GLRX,0.521308904
GLUD1,0.949737436
GLUL,0.353845234
GM2A,0.832787978
GMDS,0.848332678
GMFB,0.354339566
GNA11,0.622612089
GNA12,4.18E-05
GNA15,0.862805783
GNAI2,0.562929817
GNAI3,0.840079793
GNAS,0.836332477
GNB1,0.333003663
GNB2,0.463043495
GNG5,0.881525082
GNG7,0.263514028
GNG10,0.008339033
GNGT2,0.095071073
GNL1,0.78563684
GNS,0.759860156
GOLGA1,0.889667571
GOLGA2,0.670646701
GOLGA3,0.839502737
GOLGA4,0.09338051
GOLGB1,0.031363942
GOT1,0.963848993
GOT2,0.767604351
GPD2,0.325266656
GPI,0.292797666
CCR10,0.059359818
CXCR3,0.938138884
GPR15,0.662985135
GRK5,0.050473739
GRK6,0.290411879
MKNK2,0.616484174
GPS1,0.258151885
GPS2,0.435838105
GPX1,0.830419585
GPX4,0.593384901
GPX7,0.588927129
GRB2,0.449722317
RAPGEF1,0.940954053
GRN,0.780644019
GRINA,0.135651659
NR3C1,0.525176257
ARHGAP35,0.250501872
PDIA3,0.14117786
GRSF1,0.732579148
GSK3A,0.274950119
GSK3B,0.902210781
GSN,0.898901928
GSPT1,0.852588649
GSR,0.701719835
GSS,0.714010837
GSTM1,0.623063213
GSTM2,0.521353102
GSTM4,0.091311446
GSTP1,0.364764604
GSTZ1,0.662278419
MSH6,0.188132077
GTF2A1,0.66808809
GTF2A2,0.047055856
GTF2B,0.720595631
GTF2E1,0.327707767
GTF2E2,0.662792194
GTF2F1,0.45474324
GTF2F2,0.563555515
GTF2H1,0.939809961
GTF2H2,0.361048877
GTF2H3,0.568204932
GTF2H4,0.585505643
GTF2I,0.98730378
GTF2IP1,0.741854164
GTF3A,0.827734127
BRF1,0.712337896
GTF3C1,0.382398333
GTF3C2,0.901736076
GUCY1A1,0.02818149
GUCY1B1,0.020508676
GUK1,0.153568212
GUSB,0.493907467
GYG1,0.66351322
GYPC,0.373025788
GYS1,0.556882079
H1-2,0.512647613
H1-3,0.587254199
H1-4,0.252187628
H1-5,0.687170435
H2AC8,0.51301512
H2AC7,0.765066867
H2AX,0.26315235
H2AZ1,0.487838831
H2BC5,0.239948034
H2BC3,0.779242078
H3-3A,0.033928553
H3-3B,0.049278287
HSD17B10,0.552589243
HAGH,0.365082902
HADHA,0.195146086
HADHB,0.825977136
HADH,0.93682252
HARS1,0.197659713
HCCS,0.84352615
HCFC1,0.318150371
HCK,0.407293604
HCLS1,0.299336125
HTT,0.691947073
HDAC1,0.498345851
HDAC2,0.386117559
HDGF,0.031471444
HDLBP,0.461742197
HELLS,0.426325484
NCKAP1L,0.40242005
HEXA,0.622684754
HEXB,0.0815051
HIC1,0.972398651
HIF1A,0.490368254
UBE2K,0.810120899
HINT1,0.528292869
HIVEP1,0.764957425
HIVEP2,0.385636324
HK1,0.622426792
HK2,0.189800541
ZBTB48,0.435709335
HLA-A,0.352063607
HLA-B,0.431837168
HLA-C,0.808970086
HLA-DMA,0.595499798
HLA-DMB,0.605855928
HLA-DOA,0.372126303
HLA-DOB,0.856971892
HLA-DPA1,0.63752643
HLA-DPB1,0.781910149
HLA-DQA1,0.03328293
HLA-DQA2,0.803191058
HLA-DQB1,0.107914676
HLA-DQB2,0.743622688
HLA-DRA,0.333942968
HLA-DRB1,0.272343514
HLA-DRB5,0.650254333
HLA-DRB6,0.897317474
HLA-E,0.756035657
HLA-F,0.558807745
HLA-H,0.773365635
MR1,0.183349002
HMBS,0.229892766
HMGB1,0.566040898
HMGB2,0.852792669
HMGB3,0.251405997
HMGN1,0.212792763
HMGN2,0.610182498
HMGCL,0.577241722
HMGCR,0.395924215
HMGCS1,0.775937289
HMGA1,0.336712924
HMMR,0.333853466
HMOX1,0.961562011
HMOX2,0.202098103
HMX2,0.878378401
HNRNPA1,0.156183771
HNRNPA2B1,0.004335735
HNRNPAB,0.818925412
HNRNPC,0.355058088
HNRNPD,0.248608966
HNRNPF,0.638525416
HNRNPH1,0.478888062
HNRNPH2,0.017316148
HNRNPH3,0.136193185
HNRNPK,0.980280131
HNRNPL,0.08017483
HNRNPU,0.039716282
HOXB4,0.197780943
HPCAL1,0.226537181
HPRT1,0.932344213
HPS1,0.714685521
HRAS,0.397270181
AGFG1,0.909006702
AGFG2,0.386763022
PRMT2,0.845421353
PRMT1,0.116860588
HES1,0.594884083
HSBP1,0.696902003
HSD17B4,0.038534968
HSF1,0.24047247
HSF2,0.382953295
DNAJB2,0.847103714
DNAJA1,0.180941566
HSPA1A,0.752323976
HSPA1B,0.671444823
HSPA4,0.15569996
HSPA5,0.291445913
HSPA8,0.388326941
HSPA9,0.326828637
HSPB1,0.775549233
HSP90AA1,0.023076917
HSP90AB1,0.352402529
HSP90AB3P,0.208467736
HSPD1,0.249042232
HSPE1,0.82235576
DNAJB1,0.653615646
DNAJC4,0.652839753
NDST1,0.431774069
FOXN2,0.200198877
HUS1,0.627153302
IARS1,0.351906941
ICAM1,0.800862563
ICAM2,0.688570238
ICAM3,0.9488696
IRF8,0.323356487
MRPL58,0.994902552
ID2,0.972247147
ID3,0.305352263
IDE,0.78339436
IDH1,0.205640434
IDH2,0.673798152
IDH3A,0.073454248
IDH3B,0.293883779
IDH3G,0.299919937
IDI1,0.529674482
IDS,0.391779632
IFI16,0.590490318
IFI27,0.312723394
IFI35,0.815374662
SP110,0.407651281
IFIT2,0.893319956
IFIT1,0.435034414
IFIT3,0.891462855
IFNAR1,0.582803453
IFNAR2,0.869069922
IFNGR1,0.983452541
IFNGR2,0.26894177
IFRD1,0.71803005
IGBP1,0.600534978
IGF2R,0.963921837
IGHA1,0.50975799
IGHA2,0.537343496
IGHD,0.731094237
IGHE,0.201415772
IGHG1,0.590263275
IGHG2,0.656612201
IGHG3,0.51664585
IGHG4,0.701917406
IGHGP,0.798873643
IGHM,0.769927471
IGHMBP2,0.814855762
JCHAIN,0.829125076
IGKC,0.305959628
RBPJ,0.663453867
IGLC1,0.285617835
IGLC2,0.583757614
IGLC3,0.567760155
IGLC6,0.46288426
IK,0.005134765
IKBKB,0.822084249
IL2RB,0.276344417
IL2RG,0.370046163
IL3RA,0.502709043
IL4R,0.701318818
IL6R,0.240369323
IL6ST,0.327808159
IL10,0.637452296
IL10RA,0.425300422
IL10RB,0.081701831
IL12RB1,0.248273998
IL15,0.49589056
IL15RA,0.847562797
IL16,0.535204105
FOXK2,0.788391643
ILF2,0.943566938
ILF3,0.085254223
ILK,0.85504263
IMPA1,0.615328598
IMPA2,0.911370802
IMPDH1,0.600572157
IMPDH2,0.992364036
INCENP,0.220498299
ING1,0.7059606
CXCL10,0.426249291
INPP1,0.210432587
INPP4A,0.876389454
INPP5A,0.744846631
INPP5B,0.89062012
INPP5D,0.330916552
INPPL1,0.187121648
INSIG1,0.702427152
INSR,0.76319558
EIF3E,0.580575754
IPP,0.035442557
IRAK1,0.417645923
IREB2,0.426991889
IRF1,0.363942224
IRF2,0.622033924
IRF3,0.280171924
IRF4,0.599827203
IRF5,0.94992043
IRF7,0.698463615
ISG20,0.553158527
ITGA4,0.688814082
ITGAL,0.724523654
ITGAV,0.426204376
ITGB1,0.899752623
ITGB2,0.380480268
ITGB3,0.409791525
EIF6,0.854264593
ITGB7,0.990982204
ITGB8,0.512838244
STT3A,0.375977791
ITPA,0.349289557
ITPK1,0.216238791
ITPKB,0.436814959
ITPR1,0.944919616
ITPR2,0.08148824
ITPR3,0.040652604
IVD,0.416975346
JAK1,0.198418235
JAK2,0.575958706
JAK3,0.371455372
JARID2,0.727152434
JUN,0.113831792
JUNB,0.163152584
JUND,0.326807853
JUP,0.650231766
CD82,0.895009201
KARS1,0.775986379
KCNA3,0.390125663
KCND2,0.630386042
KCNK1,0.113901739
KCNN3,0.595380163
KCNN4,0.669093344
KIF2A,0.813219647
KIF5B,0.093093458
KLC1,0.174891391
KIF11,0.949336266
KIFC1,0.348257619
KIF22,0.256515015
KPNA1,0.514881682
KPNB1,0.439789442
KPNA2,0.839812482
KPNA3,0.602817792
KPNA4,0.28457811
TNPO1,0.53906477
IPO5,0.179977005
KRAS,0.825903117
KTN1,0.059795282
LAMC1,0.511527973
LAMP1,0.733980761
LAMP2,0.984840655
RPSA,0.730687517
STMN1,0.810152082
LASP1,0.895045101
LBR,0.106732738
LCK,0.253260658
LCP1,0.33878175
LCP2,0.988306439
LDHA,0.642763901
LDHB,0.193600614
LDLR,0.915259116
LETM1,0.190771612
LGALS1,0.599012757
LGALS3,0.273138261
LGALS3BP,0.512421145
LGALS8,0.373625035
LGALS9,0.869921781
LIG1,0.402221835
LIG3,0.457717068
LIG4,0.854960298
ABLIM1,0.42524763
LIMK1,0.758335511
LIMK2,0.077394966
LIMS1,0.179215703
LIPA,0.180972355
FADS1,0.511629193
LMAN1,0.845840739
LMNA,0.825934911
LMNB1,0.437718131
LMO2,0.292570917
PRICKLE3,0.441241563
LMO7,0.024158932
LNPEP,0.376664173
LRMP,0.792076287
LRCH4,0.124684794
LRP5,0.087821013
LRPAP1,0.544907836
LSP1,0.779538477
LSS,0.355014017
LTA4H,0.287327105
LTA,0.59144449
LTB,0.18295476
LY6E,0.868782371
LY9,0.088521275
CD180,0.153291786
LY75,0.739448825
LYL1,0.795047604
LYN,0.435593875
M6PR,0.578192854
CAPRIN1,0.825577438
NBR1,0.386649868
MARCKS,0.597651168
MAD2L1,0.413859445
SMAD1,0.887557981
SMAD2,0.298819533
SMAD3,0.6630569
SMAD4,0.721146911
SMAD5,0.5878281
SMAD7,0.860532734
MAFG,0.953542874
MAGOH,0.222421503
MAL,0.44126485
MAN1A1,0.707087396
