,p value
ATP5F1D,0.958566659
ATP5F1E,0.541336883
ATP5PB,0.833585088
ATP5MC1,0.932490548
ATP5MC2,0.518793807
ATP5MC3,0.926867127
ATP5ME,0.538624657
ATP5PF,0.238553531
ATP6V1A,0.349603283
ATP6V1B2,0.903130932
ATP6V0C,0.342297218
ATP6V1C1,0.965861319
ATP6V1E1,0.802805475
ATP6V0B,0.363601144
ATP6V1G2,0.206070426
ATP6V0A1,0.610992804
ATP6AP1,0.631147269
ATP7A,0.35676493
ATP5PO,0.648319302
ATP7B,0.453602858
ATR,0.433418923
ATRX,0.055889177
AUH,0.507489412
AUP1,0.566991357
B2M,0.707905528
BACH1,0.942703746
BAD,0.585002801
BAG1,0.837196532
BAK1,0.544994893
BARD1,0.286017275
BAX,0.436789473
BBS1,0.290552244
BBS2,0.333226588
BBS4,0.123597366
BCAT1,0.349695239
BCAT2,0.961627072
BCKDHA,0.177737782
BCKDHB,0.658426107
CCND1,0.621051599
BCL2,0.954819924
BCL2A1,0.674137335
BCL2L1,0.918718733
BCL2L2,0.050212188
BAK1P1,0.288554067
BCL3,0.386695684
BCL7A,0.613956513
BCL9,0.876420873
TNFRSF17,0.436642047
BCR,0.831019862
BCS1L,0.855207824
BCYRN1,0.938571094
BCYRN1P1,0.508167209
BDH1,0.955327863
CEACAM1,0.966629239
BICD1,0.483227103
BID,0.822632573
BIK,0.035234116
PRDM1,0.51444771
BLK,0.9209879
BLM,0.802163121
BLMH,0.998047478
CXCR5,0.657394533
BLVRA,0.225727191
BLVRB,0.628131437
BMI1,0.906782294
BMP1,0.553570858
BMP2,0.249928553
BMP3,0.766413852
BMP4,0.534849127
BMP6,0.71037186
BMP8B,0.369254078
BMPR1A,0.0902763
BMPR2,0.623364893
POLR3D,0.67707056
BNIP1,0.77262788
BNIP2,0.876290524
BNIP3,0.37564967
BNIP3L,0.621789557
DST,0.824089289
BPGM,0.962701398
BPHL,0.84464165
BRCA1,0.188501054
BRAF,0.546949574
BRCA2,0.956768818
ZFP36L1,0.140800395
ZFP36L2,0.496502367
BSG,0.611341897
BST2,0.236596372
BTD,0.520980515
KLF9,0.808001801
KLF5,0.32746089
BTF3,0.650943586
BTG1,0.82979278
BTK,0.341897348
BTN1A1,0.533008578
BUB1,0.691127649
BUB1B,0.983001379
BYSL,0.820229823
TSPO,0.936156146
C1QBP,0.911066477
C1R,0.668722812
C4A,0.658389785
C4B,0.875754567
C5,0.026236009
C5AR1,0.758451664
OSGIN2,0.796919886
VPS51,0.522965079
MRPL49,0.766564228
ZNHIT2,0.550317659
MYRF,0.983241571
TMEM258,0.668396844
FMNL1,0.457465779
LDLRAD4,0.504796347
PTTG1IP,0.780757309
CFAP410,0.75177315
TMEM50B,0.344941657
CA2,0.617665574
CA11,0.525506606
CACNA1A,0.677116143
CACNA1D,0.475176929
CACNA1E,0.591544666
DDR1,0.626052774
CACNB1,0.900412046
CACNB2,0.551836199
CACNB3,0.155589516
CACNB4,0.31402297
SLC25A20,0.720925836
CAD,0.843179809
CALD1,0.905365079
CALM1,0.896313419
CALM2,0.945359591
CALM3,0.98641775
CALR,0.71986583
CALU,0.592074179
CAMK4,0.725654988
CAMK2D,0.389439191
CAMK2G,0.875152718
CAMLG,0.55661303
CAMP,0.92655742
CANX,0.498654011
CAPG,0.357883822
CAPN1,0.946784661
CAPN2,0.325653825
CAPN3,0.881893497
CAPNS1,0.698800229
CAPS,0.79595678
CAPZA1,0.742349963
CAPZA2,0.390113753
CAST,0.455387516
CAPZB,0.986579853
CARS1,0.895361874
CASP1,0.910686918
CASP2,0.124351125
CASP3,0.897148972
CASP4,0.931560456
CASP6,0.16689923
CASP7,0.583326795
CASP8,0.919064426
CASP9,0.786030585
CASP10,0.542380664
CAT,0.495191498
CAV1,0.256596986
CAV2,0.121719584
RUNX1,0.616826687
CBFA2T3,0.33650981
RUNX3,0.385473762
CBFB,0.109727745
CBL,0.62745172
CBLB,0.479622379
SERPINH1,0.793877389
CBR1,0.693084859
CBS,0.65080736
KYAT1,0.51592294
KRIT1,0.179500013
CCNA2,0.489785865
CCNB1,0.809954469
CCNC,0.601355474
CCND2,0.818824372
CCND3,0.142363706
CCNE1,0.993975929
CCNF,0.126504139
CCNG1,0.816787934
CCNG2,0.801162946
CCNH,0.894574194
CCNT1,0.518499616
CCNT2,0.736123167
CCT6A,0.874496817
CD1C,0.592388142
CD6,0.422323176
CD9,0.38975572
CD19,0.719972818
MS4A1,0.95408411
CD22,0.920821907
CD24P4,0.745826549
CD27,0.150898108
CD28,0.092479219
CD80,0.560355186
CD86,0.331049878
TNFRSF8,0.613204411
TNFSF8,0.879014999
CD33,0.580486282
SIGLEC6,0.837831161
CD36,0.496023304
SCARB1,0.933665982
SCARB2,0.387252348
CD37,0.553516127
CD38,0.99431592
ENTPD1,0.511920984
ENTPD2,0.915321892
ENTPD6,0.880772581
ENTPD5,0.691620371
CD40,0.853417156
CD44,0.135192279
CD47,0.662375937
CD48,0.43892095
CD53,0.434448385
CD58,0.916380316
CD59,0.567250738
CD63,0.234982998
CD68,0.794064508
CD69,0.175983973
CD70,0.609014709
CD72,0.924474387
CD74,0.320969286
CD79A,0.902354901
CD79B,0.899737418
CD81,0.619480508
ADGRE5,0.460132254
CD151,0.76401703
CDK1,0.590702735
CDK11B,0.263185707
LRBA,0.617764756
CDC5L,0.462829517
SEPTIN7,0.741045333
CDC6,0.975066952
CDC20,0.996898398
CDC25A,0.653613053
CDC25B,0.405577538
CDC25C,0.618797664
CDC27,0.981235485
CDC34,0.722331188
CDC42,0.343963771
CDH1,0.481928683
CDH2,0.792108841
CDH17,0.954774747
CDK2,0.892540303
CDK4,0.542544394
CDK5,0.712856839
CDK6,0.460272349
CDK7,0.521471429
CDK8,0.913084291
CDK9,0.841794483
CDKN1A,0.747468028
CDKN1B,0.707567852
CDKN2A,0.892073535
CDKN2C,0.888367608
CDKN2D,0.376005691
CDKN3,0.405343387
CDR2,0.917505143
CD52,0.530686047
CLGN,0.554523171
CEBPB,0.303934277
CEBPD,0.893392784
CEBPG,0.844961852
CEL,0.540469431
CENPA,0.552403029
CENPB,0.725012475
CENPC,0.344179796
CENPE,0.480570356
CENPF,0.576170109
CETN2,0.005116021
CETN3,0.180069404
CETP,0.98051472
CFL1,0.884016692
CFL2,0.888108349
CTSC,0.742792946
RCBTB2,0.413345132
RCC1,0.538345172
CHD1,0.412364194
CHD2,0.350666787
CHD3,0.948910433
CHD4,0.853349114
CHEK1,0.966579326
FOXN3,0.680476041
CHI3L1,0.757869211
CHI3L2,0.129523535
CHKA,0.377548868
CHKB,0.574648951
CHM,0.055395611
CHML,0.678558816
LYST,0.954766538
CHRNA5,0.959949194
CHRNB1,0.261267491
CHUK,0.897069796
CKB,0.545620922
CIRBP,0.690844872
CISH,0.401001876
TBCB,0.739838786
ERCC8,0.814141086
CKS1B,0.616831929
CKS2,0.355638968
AP2M1,0.868049173
AP1S1,0.815054635
AP2S1,0.961372887
AP3S1,0.774111521
CLCN2,0.838890213
CLCN3,0.195649803
CLCN4,0.203398547
CLCN5,0.631735647
CLCN6,0.866125997
CLCN7,0.558988185
CLU,0.746658838
CLIC1,0.53331704
CLIC2,0.523580258
CLK1,0.218842803
CLK2,0.645884339
CLK3,0.493058924
TPP1,0.180420675
CLN3,0.595569643
CLN5,0.435932412
CLNS1A,0.388625582
CLPTM1,0.744171915
CLTA,0.80252379
CLTB,0.534232793
CLTC,0.600404329
CMA1,0.724759176
CCR1,0.929530495
CCR4,0.531234114
CCR6,0.765413335
CCR7,0.090535872
CCR8,0.917511791
CMKLR1,0.736113731
LTB4R,0.714810831
ABCC2,0.404829937
PLK3,0.632565399
CNN2,0.735936037
CNN3,0.160664284
CNP,0.773047025
CNR1,0.697979208
CNR2,0.805772515
CNTF,0.714269683
COL1A1,0.119146386
COL4A2,0.12718341
COL4A3,0.908426991
COL4A4,0.584338095
COL5A1,0.550813241
COL5A2,0.667520399
COL6A1,0.64144153
COL7A1,0.696391303
COL9A2,0.498354633
COL11A2,0.658768039
COL16A1,0.4345278
COL19A1,0.395563249
COMT,0.715211072
COPA,0.341255973
COPB1,0.429904921
KLF6,0.087050163
SLC31A1,0.819857111
MAP3K8,0.732185294
COX4I1,0.852243703
COX5B,0.535210319
COX6A1,0.851877131
COX6B1,0.598634884
COX6C,0.470182038
COX7A2,0.440234609
COX7B,0.7938518
COX7C,0.489505372
COX8A,0.973896447
COX10,0.554053772
COX11,0.534895064
COX15,0.878445702
CPD,0.176516929
CPM,0.795938795
CPOX,0.666067319
CPS1,0.732053928
CPT1A,0.569462667
CPT1B,0.41336412
CPT2,0.681917211
CR1,0.582286296
CR2,0.371526817
CRAT,0.884930774
CREB1,0.6158467
ATF2,0.796650681
CREBBP,0.520363113
ATF6B,0.961827901
CREBL2,0.44435172
CREM,0.198473178
CRIP1,0.644926743
CRK,0.950046533
CRKL,0.869067863
CRY1,0.450719679
CRY2,0.948027216
CRYBB2P1,0.434050418
CRYGS,0.456707007
CRYM,0.420276462
CRYZ,0.789291819
CS,0.965515579
MAPK14,0.459077695
CSE1L,0.968158603
CSF1,0.85313961
CSF2RB,0.604965396
CSK,0.545178097
CSNK1A1,0.286203426
CSNK1D,0.420200548
CSNK1E,0.756884216
CSNK1G2,0.307229588
CSNK1G3,0.723638509
CSNK2A1,0.942221982
CSNK2A2,0.951017629
CSNK2B,0.908044687
VCAN,0.328979687
NCAN,0.826697998
CSPG4,0.146540976
CSRP1,0.339356978
CSRP2,0.117520384
CSRP2P1,0.838772205
SLC25A10,0.685524419
CST3,0.853672059
CSTB,0.771497641
CSTF1,0.602511021
CSTF2,0.375903675
CSTF3,0.081769125
CTBS,0.951947487
CTBP1,0.460676393
CTBP2,0.840736664
CTH,0.913159261
CTNNA1,0.697360665
CTNNA2,0.396872974
CTNS,0.787729047
CTNNB1,0.586327113
CTNND1,0.094871993
CTPS1,0.851109395
CTRL,0.018665151
CTSB,0.723093602
CTSD,0.472582345
CTSH,0.469361294
CTSK,0.441807771
CTSO,0.122088408
CTSS,0.77281204
CTSW,0.501667488
CTSZ,0.953411961
CUX1,0.153041122
CXADR,0.459271645
CYB5A,0.948164008
CYB561,0.855478171
CYBA,0.482074677
CYBB,0.955892478
CYC1,0.371961998
CYLD,0.800619877
CYP1A1,0.398185762
CYP1B1,0.6710498
CYP2D7,0.337244764
CYP2J2,0.840645318
CYP27A1,0.528577179
CYP27B1,0.036284943
CYP51A1,0.347512839
DAD1,0.716434796
CD55,0.982302662
DAG1,0.330575736
DGKA,0.759466034
DGKG,0.03830488
DGKQ,0.695829931
DAP,0.460437001
DAPK1,0.268879229
DAPK3,0.699153451
DARS1,0.348219322
DAXX,0.36011052
DAZL,0.465136164
DBI,0.49454862
DBN1,0.85734565
DBP,0.201790255
DBT,0.96273628
ECI1,0.570926557
DCK,0.413208171
DCTD,0.645223436
DCTN1,0.917230223
DDB1,0.992834413
DDB2,0.969395199
GADD45A,0.526863655
DDIT3,0.596498472
DDOST,0.734904938
DDT,0.30700591
DDX1,0.391308387
DDX3X,0.276489278
DDX5,0.339106078
DDX6,0.288349443
DMXL1,0.747509491
DHX8,0.675199913
DHX9,0.587085952
DDX10,0.550944209
DDX11,0.414505671
DHX15,0.931588939
DECR1,0.922773651
DFFA,0.421613575
DFFB,0.914897554
TIMM8A,0.581818447
GSDME,0.843747841
COCH,0.561436256
DGUOK,0.325415342
DHCR7,0.548202693
DHCR24,0.734035428
DHFR,0.440780883
DHODH,0.78328215
DHPS,0.811814463
CYB5R3,0.45167568
NQO1,0.896588252
DIAPH1,0.557371563
DIAPH2,0.92755428
SEPTIN1,0.647905982
DKC1,0.24528826
DLAT,0.827750988
DLD,0.304922641
DLG1,0.114823791
DLG2,0.475268302
DLG3,0.727335361
DLG4,0.855264485
DLST,0.823331808
DLSTP1,0.548850808
DMD,0.860237817
DMPK,0.713961903
DMWD,0.652966182
DNA2,0.838776295
DNAH6,0.701301841
DNAH8,0.609878281
DNASE1,0.689008659
DNASE1L1,0.773855435
DNASE1L2,0.10348674
DNASE1L3,0.712553878
DNASE2,0.772354835
DYNC1H1,0.87538482
DYNC1I2,0.082650658
DYNC1LI2,0.258822073
DNM2,0.443148783
DNMT1,0.631119431
TRDMT1,0.489383795
DNMT3A,0.749764433
DNMT3B,0.082675551
DOCK2,0.619547766
DOK1,0.52006113
DXO,0.487242517
DPAGT1,0.541108373
DPH1,0.841507108
DPH2,0.693073007
DPP4,0.111289589
DPYD,0.241375328
DPYSL2,0.741293268
DPYSL3,0.734107656
DR1,0.710345322
DRG2,0.518294199
ARID3A,0.245860805
ATN1,0.481449966
DSC2,0.162168266
DSC3,0.133700317
RCAN1,0.483454256
DSG2,0.863772703
TSC22D3,0.765429373
SLC26A2,0.859687304
DTNB,0.330228999
HBEGF,0.19200991
DTX1,0.454229731
DTYMK,0.942955792
DUSP1,0.593228096
DUSP2,0.560708495
DUSP3,0.323382053
DUSP4,0.444409671
DUSP5,0.701066352
DUSP6,0.655483983
DUSP7,0.406214596
DUT,0.602477411
DVL1,0.494120525
DVL2,0.888360418
DVL3,0.749026422
DYRK1A,0.887551025
TOR1A,0.223883487
E2F1,0.214681994
E2F2,0.20421377
E2F3,0.927978968
E2F4,0.849546781
E2F5,0.229072304
E2F6,0.681604386
E4F1,0.545592858
EBF1,0.758442672
GPR183,0.469952451
ECE1,0.996077385
TYMP,0.755787698
ECH1,0.618889471
ECHS1,0.55639482
ECM1,0.625960168
ECT2,0.952029785
S1PR1,0.928776037
LPAR1,0.92665619
EDN1,0.693337596
EDNRA,0.558693927
EDNRB,0.411373696
PHC1,0.330949134
PHC2,0.940552284
EEF1A1,0.375500576
EEF1A2,0.800135682
EEF1A1P43,0.799006469
EEF1B2,0.398636156
EEF1D,0.975497148
EEF1G,0.652025935
EEF2,0.344649164
EIF2D,0.703099173
EFNA1,0.410793383
EFNA3,0.742981413
EFNA4,0.864938683
EFNA5,0.786420339
EFNB1,0.380972576
EFNB2,0.686871515
CELSR3,0.511808988
CELSR2,0.0995896
MEGF6,0.697361119
MEGF8,0.379644247
MEGF9,0.199463161
EGR1,0.553152797
EGR2,0.880261694
EGR3,0.245486066
EHHADH,0.077282013
EIF1AX,0.847364827
EIF2S1,0.4452365
EIF2B1,0.917701177
EIF2S3,0.955481316
EPHA2,0.362947482
EIF4A1,0.911651037
EIF4A2,0.279538277
EIF4B,0.384167023
EIF4E,0.722058418
EIF4EBP1,0.547499834
EIF4EBP2,0.27976879
EIF4G1,0.609811814
EIF4G2,0.739871375
EIF5,0.819205104
EIF5A,0.584364623
SERPINB1,0.246187122
ELAVL1,0.703928883
ELF1,0.467609136
ELF2,0.82309468
ELF3,0.785677582
ELF4,0.741780717
ELK1,0.542245318
ELK3,0.013170398
ELK4,0.466473961
EMD,0.327546527
MARK2,0.505873467
EMP1,0.019875578
EMP3,0.820498144
ADGRE1,0.204450301
EMX1,0.394431478
CTTN,0.250370315
ENDOG,0.930813673
ENG,0.489877194
ENO1,0.875236982
ENO2,0.874305671
ENO3,0.584935727
ENSA,0.748841971
SLC29A1,0.974779131
EP300,0.790341074
EPAS1,0.097218986
EPB41,0.686790517
EPB41L2,0.153788603
STOM,0.300302485
EPHA4,0.633106352
EPHB1,0.325588484
EPHB2,0.766811072
EPHB4,0.520614534
EPHB6,0.720920703
EPHX1,0.478856987
EPHX2,0.951095796
STX2,0.985515876
CLN8,0.513151604
EPOR,0.839460575
EPRS1,0.585985449
EPS8,0.73410831
EPS15,0.538023893
NR2F6,0.266117992
ERBB2,0.308312555
ERCC1,0.685749016
ERCC2,0.491529027
EREG,0.777772664
ERCC3,0.896670704
ERCC4,0.521241049
ERCC5,0.311607264
ERCC6,0.421796282
ERF,0.382087365
ERH,0.758770051
ERN1,0.951050231
ERV3-1,0.895176039
FBL,0.789412836
ESD,0.669317073
ESR2,0.723961789
ESRRA,0.971658399
ETF1,0.831288129
ETFA,0.714790818
ETFB,0.755362434
ETFDH,0.325098556
ETS1,0.955532238
ETS2,0.863158913
ETV3,0.66808822
ETV4,0.702815282
ETV5,0.802167462
ETV6,0.45248654
EVC,0.625901248
EVI2A,0.701524363
EVI2B,0.917809897
EWSR1,0.849550255
EXT1,0.909947922
EXT2,0.378277069
EXTL2,0.685599075
EXTL3,0.215066637
EYA2,0.777250483
EYA3,0.073138265
EZH1,0.507612762
EZH2,0.378164752
F2R,0.534735108
F5,0.98745084
F8,0.983138575
F12,0.937585225
F13A1,0.070309425
FAAH,0.189317298
FABP3,0.964693217
FABP5,0.99981112
FANCA,0.272780907
FANCC,0.48278106
FANCD2,0.96350428
FANCE,0.762358643
ACSL1,0.747185903
ACSL3,0.831870147
ACSL4,0.183785021
FAH,0.756373454
PTK2B,0.616407106
BPTF,0.243429103
FANCB,0.711003213
FANCF,0.365594323
FANCG,0.917113279
FARSA,0.328077992
FASN,0.223534688
FAT1,0.217103287
FAU,0.830677549
FBN1,0.937641922
FBN2,0.14233671
FCER2,0.804960477
FCGR2A,0.82094097
FCGR2B,0.535260185
FCGRT,0.23541252
FKTN,0.685490312
FDFT1,0.856576914
FDPS,0.462329322
FDX1,0.751840971
FDXR,0.592771148
FECH,0.81098627
FEN1,0.995332895
GPC4,0.116948401
FER,0.458722499
FES,0.999615064
FGF2,0.620367232
FGF11,0.016815355
FGFR1,0.401096711
GPC5,0.062910809
FGFR4,0.878897353
FGR,0.073008661
FH,0.528274816
FHIT,0.422505691
FHL1,0.084236687
FHL2,0.606266825
FHL3,0.788193106
FKBP1A,0.959329095
FKBP2,0.461260322
FKBP3,0.138205303
FKBP4,0.72390762
FKBP5,0.292239638
FOXG1,0.385100496
FOXC1,0.731988908
FOXM1,0.774358045
FOXO1,0.219570973
FOXO3,0.894163299
FOXO3B,0.884600327
FLI1,0.597169586
FLII,0.756633318
FLNA,0.952050308
FLNB,0.277616154
FLOT2,0.486150352
FLT1,0.624570005
FLT3,0.716225991
FLT3LG,0.624328776
FMO4,0.700863438
FMO5,0.327390554
FMR1,0.901077216
FN1,0.036414163
FNTA,0.126985698
FNTB,0.294534952
FOS,0.883928819
FOSB,0.618502654
FOSL2,0.829016833
FPGS,0.778671388
FXN,0.570522091
FRK,0.615513199
MTOR,0.360559118
FRG1,0.360227766
CENPI,0.620967381
FTH1,0.832474081
FTH1P2,0.799245338
FTH1P7,0.720194694
FTH1P8,0.563332664
FTH1P10,0.538361511
FTH1P16,0.342825287
FTL,0.618030162
FUCA1,0.453689465
FUCA2,0.632350385
FUS,0.549312317
FUT4,0.32040174
FUT7,0.907791273
FUT8,0.950451555
KDSR,0.293117264
ACKR1,0.491876591
FYB1,0.240371219
FYN,0.14338399
IFI6,0.894709398
G6PD,0.718155078
SLC37A4,0.554555813
XRCC6,0.205695696
GAA,0.770312542
GAB1,0.736929662
GABBR1,0.041216544
GABPA,0.275437241
GABPB1,0.893648749
GABRA4,0.099832465
GABRB2,0.307629977
GABRR2,0.42766303
GAD1,0.19396202
GAK,0.939962817
GALC,0.022556083
GALE,0.709253683
B4GALNT1,0.200198652
GALK1,0.545550312
GALK2,0.49111865
GALNS,0.361824244
GALNT1,0.459907458
GALNT2,0.766142027
GALNT3,0.250916235
GALT,0.617649324
GAMT,0.033948019
GANC,0.74325071
GAP43,0.514140743
GAPDH,0.56016768
GARS1,0.401145367
GART,0.646375711
GAS2,0.812256677
GAS6,0.983089318
GAS8,0.559852626
GATA3,0.124118899
GATA4,0.534383691
GATM,0.863864068
GBA,0.256236342
GBAP1,0.489188976
NIPSNAP2,0.689024221
GBE1,0.183208873
GBP1,0.23153593
GBP2,0.147240267
GBP3,0.120819312
GCDH,0.937525137
GCGR,0.529437971
GCH1,0.213510322
GCHFR,0.871510853
BLOC1S1,0.879152911
KAT2A,0.538711395
NR6A1,0.836460283
GCNT1,0.554974485
GCNT2,0.791255154
GCSH,0.539797232
GDI1,0.712297631
GDI2,0.914079169
GEM,0.681218039
GFER,0.216588669
GFI1,0.69715843
GFPT1,0.698310168
GGCX,0.520294555
GGT1,0.099419854
B4GALT1,0.812689266
GGT7,0.31301751
GHR,0.189229936
GIPR,0.161147852
GJA3,0.519047086
GJB2,0.466917943
GK,0.32954172
GLA,0.454114037
GLB1,0.510172031
GCLC,0.5840779
GCLM,0.338769106
GLDC,0.227293026
GLDCP1,0.264826654
GLE1,0.372809898
GLG1,0.80324397
GLI1,0.935391866
GLI4,0.377347452
GLO1,0.786928102
GLS,0.992954142
GLRX,0.531077353
GLUD1,0.789769197
GLUD2,0.978019303
GLUD1P3,0.702753377
GLUL,0.528492795
GM2A,0.911845339
GMDS,0.763936671
GMFB,0.579544539
GMPR,0.065478531
GNA11,0.575587705
GNA12,0.000380899
GNA15,0.595825497
GNAI2,0.755911034
GNAI3,0.775890886
GNAQ,0.102414977
GNAS,0.958906538
GNAZ,0.756230346
GNB1,0.767157775
GNB2,0.755671327
GNG5,0.958562175
GNG7,0.596361105
GNG10,0.048203312
GNG11,0.4637231
GNGT2,0.073329272
GNL1,0.918066903
GNRH1,0.340359754
GNS,0.668412915
GOLGA1,0.527412978
GOLGA2,0.580458679
GOLGA3,0.720854532
GOLGA4,0.097606704
GOLGB1,0.027827615
GOT1,0.85298728
GOT2,0.710180274
SFN,0.789688023
GPC1,0.846466374
GPD2,0.308031086
GPI,0.652642768
GPLD1,0.199727323
GPM6A,0.810717155
CCR10,0.078258131
CXCR3,0.807812449
GPR15,0.582863445
GPR18,0.373436204
GPR19,0.164777025
GPR25,0.246296286
GPER1,0.454709057
GPR34,0.262910759
GPR35,0.33683978
FFAR1,0.61102824
FFAR2,0.919695317
GRK4,0.052606482
GRK5,0.288550287
GRK6,0.629029413
MKNK2,0.483944294
GPS1,0.663892813
GPS2,0.543253454
GPX1,0.671000858
GPX4,0.867232562
GPX7,0.800191344
GRB2,0.85180232
RAPGEF1,0.950745251
GRIA3,0.501976191
GRN,0.891377175
GRIK4,0.951793776
GRIN2A,0.803956331
GRINA,0.17625845
NR3C1,0.496690838
ARHGAP35,0.40137778
GRM3,0.480758232
GRM8,0.652115575
PDIA3,0.281828539
GRPR,0.360671777
GRSF1,0.90402291
GSK3A,0.729458303
GSK3B,0.749160457
GSN,0.537193945
GSPT1,0.984264321
GSR,0.974065437
GSS,0.704523497
GSTA4,0.456044875
GSTM1,0.916328529
GSTM2,0.379554593
GSTM3,0.472260016
GSTM4,0.120361438
GSTP1,0.304235255
GSTT1,0.062130898
GSTZ1,0.638379483
MSH6,0.282363725
GTF2A1,0.915712168
GTF2A2,0.383106792
GTF2B,0.662904831
GTF2E1,0.392443274
GTF2E2,0.931638882
GTF2F1,0.860953355
GTF2F2,0.837968797
GTF2H1,0.842120116
