Short Gene name,p_value w/o covariate,p_value w/ covariate
YPEL1,0.793331221,0.819955414
ZNF350,1,0.656358526
EDEM1,1,0.147783996
PMM2,0.454590266,0.507612764
LINC00504,0.729624146,0.568504694
CDON,1,0.554219284
ECE2,0.713252232,0.907508519
POLR2G,0.754660747,0.146781603
RASGEF1B,0.928743077,0.000149401
TMEM132A,0.920344652,0.096156059
F2R,0.553448501,0.191769452
SYT7,0.982515346,0.812909944
INA,0.819771986,0.347011073
SEC61A1,0.667294487,0.629071871
PGM2L1,0.71841096,0.921719456
LOC653513,0.498337064,0.429461148
ALG5,0.927713118,0.778232473
ZNF358,0.736948665,0.414847512
CENPW,0.743518147,0.996191761
CD44,1,0.041267105
NGFR,0.940619387,0.875843329
FUNDC1,0.491729273,0.456982367
ACP1,1,0.256708254
TIMM23B,0.148143066,0.401167002
PLEKHB1,0.369356362,0.059249928
UFL1,0.998027516,0.364486814
LOC100129434,1,0.230392397
GGCT,0.867075403,0.833770938
S1PR1,0.718331198,0.413628943
MIR22HG,0.876599725,0.935664436
AMIGO1,0.828030733,0.036685755
ERV3-1,0.945927099,0.843377204
C19orf26,0.670144682,0.567971441
TUBB2B,1,0.898615534
GCNT1,1,0.034221771
AES,0.572717747,0.427480221
CLINT1,0.578118879,0.326157362
CNRIP1,1,0.113650827
ATP2B4,0.853565941,1
GNG3,0.667038818,0.767029166
N4BP3,0.562866894,0.223071051
TUBB3,0.867331307,0.859714797
CLIP3,1,0.495307665
ABR,0.465432034,0.929117637
RPF2,0.676784514,0.899657504
H2AFY2,0.765160842,0.006748122
TACSTD2,0.598649354,0.976494158
SEC23IP,0.714619782,0.261960773
SRP68,0.578885111,0.421661465
PRDX2,0.913772361,0.093915592
NEFL,0.297103456,0.964666797
URB1,0.114911704,0.104818638
XKR4,0.807955687,0.903493199
MIR100HG,0.84865253,0.486847739
RFTN2,0.975590685,0.229429241
NDNL2,1,0.607401638
UGDH-AS1,0.959826483,0.063304796
FAM222A,0.674694663,0.236763244
KLF10,0.68087586,0.558425185
GPR107,1,0.23903055
DNAJC3,0.696297257,0.236665867
C1QL1,1,0.119934564
NES,0.857497631,0.93271383
MEX3D,1,0.0798148
FAM57B,0.48297779,0.048252559
LPCAT4,0.781190856,0.730845469
CHAF1B,0.268445631,0.758598467
CLK2,0.415967241,0.776753837
SOX11,1,0.065429939
CPE,0.745940803,0.517924987
SERP1,0.665298383,0.058465445
TMEFF1,0.611382576,0.342130362
TMSB15A,0.569803502,0.004011185
SRP54,0.862007455,0.692333615
CHST2,0.810196976,0.770567398
ZFPM2,0.78902953,0.630761051
PSMA5,0.329994458,0.055571696
C7orf13,0.019671877,0.073605655
CKB,0.626157731,0.482244911
EGLN3,0.857366092,0.401028726
CDR1,0.757881794,0.385849557
CELSR2,0.744493537,0.51490658
NEDD4L,0.933176447,0.882136931
SAP18,0.602417806,0.282092669
4-Sep,0.492846758,0.312672131
RARS,1,0.842643525
GPC2,0.831294252,0.688911561
DHDDS,0.653380643,0.11410858
RIMS3,0.934111166,0.750218055
FAM211A-AS1,0.672879118,0.289913286
NCAM1,0.666721871,0.769949455
CPNE3,0.872968517,0.29709796
NDRG4,0.660103906,0.762574285
TMEM116,0.644962786,0.413241533
RUSC1,0.340442747,0.574947923
FADS3,0.498337064,0.482245668
TMA16,0.584182562,0.187715346
USP21,1,0.510030168
KRT10,0.850962959,0.630152676
MAPK8,0.286244527,0.681060166
KLHL42,0.571664333,0.702531904
NR2F1,0.215125368,0.213345908
SSX2IP,0.777814295,0.054025019
SLC25A26,1,0.033264832
SMC5,0.708964891,0.029682942
KCNG1,0.83209503,0.026742573
XBP1,0.896784272,0.608775041
GCA,0.959826483,0.074595654
SDF2L1,0.307481325,0.573813694
EFNB2,0.56399219,0.972267693
BTBD2,0.520846253,1
DZIP1,0.573211591,0.647576631
LINC00263,0.546266755,0.463256695
SNORA84,0.566600283,0.338801747
PGRMC2,0.804332848,0.41515296
RINT1,0.000275699,7.88E-08
SLC5A12,1,0.767343612
PHF21B,0.886069845,0.197220946
FKBP9,0.811077216,0.073040179
PPP1R1A,0.759336846,0.69037335
ZNF562,1,0.223316231
SEMA6C,1,0.202930424
FDPS,0.672581925,0.44651652
HEIH,1,0.656717027
ACLY,1,0.415001666
NOL10,0.889528457,0.850828844
ALKBH2,0.420346558,0.350366827
DPH6,0.566101425,0.001734956
CRMP1,0.804332848,0.450152295
ANKFY1,0.599329323,0.103592915
TUBB2A,1,0.864604893
MAST1,0.961771831,0.987962105
GAS5,0.760695467,0.334564654
CTSV,0.508443512,0.878653121
PPP1R1B,0.095914243,0.001734294
RP11-453F18__B.1,0.526702784,0.439160765
EPB41L4A,0.868247317,0.46048973
CDK9,0.168417543,0.521147664
WRN,0.66825709,0.239304849
VIMP,1,0.490978178
TMF1,1,0.255476102
COPB2,1.26E-06,0.571644539
ABCC9,0.762121436,0.193831015
CIR1,0.483429902,0.048441699
LOC101927720,1,0.192479948
GPC4,0.958457341,0.891214097
RRP7B,0.651854443,0.818766775
LOC101926895,1,0.45094074
COG3,1,0.01415177
PREX1,1,0.220018049
DLGAP4,0.747577423,0.10897805
GDPD5,0.569803502,0.003525033
MFSD10,0.745111993,0.035659227
TYW1,0.259776474,0.279713255
NEFM,0.826352893,0.477491272
FAM69B,0.622172558,0.011192369
LZTS3,1,0.31378325
IRX2,0.903599246,0.484170388
HES6,0.090718341,0.240179705
DIS3,0.098608913,0.063376325
MAP6,1,0.2082242
METTL1,0.768240739,0.000898971
CCDC92,0.819852205,0.361742347
OSBP,1,0.696532736
SDC3,1,0.912773971
CRABP1,0.602133068,0.619367249
PPP1R14B,1,0.00521974
NBL1,0.560586273,0.563046411
SACS,0.927289787,0.196978137
CACNA1H,1,0.641727369
GORASP2,1,0.756559919
NDUFA10,0.257758166,0.612529477
KIF21B,0.930898966,0.979375322
ZNF585B,0.368592189,0.142129178
SUGT1,0.431819401,8.34E-05
HERPUD1,0.502643095,0.516256465
SNORD116-15,0.67718178,0.750181672
UROS,1,0.583908504
ALKBH3,0.881476551,0.470346876
BCLAF1,0.187945191,0.089626273
TFRC,1,0.715347848
OGFOD1,0.718331198,0.920205672
HMGN2,1,0.531566278
MED6,0.551584954,0.127733109
GOSR1,0.570557253,0.041880367
MLLT11,0.695036119,0.426502556
AUTS2,0.026145422,0.022057451
TRIM36,0.895349975,0.211032979
CYTH3,0.007496105,0.332376992
MRPS28,0.895485051,1
INSM1,0.862727259,0.909001417
DNAJB11,0.234553771,0.1335243
EBNA1BP2,0.757550833,0.819968333
CPT1B,1,0.839524331
ATXN7L2,0.704558278,0.660563637
SLC35E2B,0.759336846,0.566454979
YKT6,0.747591606,0.440438986
KCNQ2,0.49669061,0.499610189
PRKACA,0.902728195,0.018823525
TOMM6,1,0.100590262
SDE2,0.690797734,0.613453682
TBPL1,0.144951415,0.003293277
HSPA12A,1,0.191327331
LOC642852,1,0.001856206
KIAA1211,0.853565941,0.315321737
XPO4,0.77263302,0.997230778
UBQLN4,1,0.300064294
RUNDC3A,0.033757018,0.020981276
FGFBP3,0.56681491,0.161316842
CLSTN1,1,1
SUMO2,0.514208263,0.894648036
LARP1B,0.853626847,0.775012459
GOLGA5,0.783719844,0.224745103
CCDC50,1,1
BAHCC1,0.607691004,0.005238584
ZNF528,0.411165605,0.073013513
CHMP4A,0.296875831,0.732710671
CREB3L4,0.758631075,0.070636439
HLCS,0.431219946,0.053081424
TANK,2.15E-05,0.017062253
FBLL1,0.773253991,0.020436688
ARHGAP35,0.541242956,0.573995608
MAMDC4,0.878958977,0.798094236
KIF3C,0.730269324,0.326336708
NUDT4,0.456266638,0.645183118
PLP1,0.812066795,0.224582632
MORF4L2,0.822739114,0.335850314
AMER2,0.827907176,0.587197652
OGG1,0.45556962,0.166000671
HKR1,0.179701291,0.419273907
EEF1B2,1,0.247693935
MTCH1,0.945918578,0.303406737
CDH10,1,0.182687895
ACBD3,0.581883239,0.001599453
PSMA3,0.911830163,0.358564686
GPM6A,0.741198837,0.910189588
PNMA3,0.771037211,0.598500317
PEBP1,1,0.610923066
EEF1A2,1,0.600837647
LRWD1,0.373307853,0.072285992
MDM2,0.709499006,0.122838243
IRAK1BP1,0.066743216,0.027150535
SRRT,0.593031801,0.032867353
MPP5,1,0.815524559
SYNGR1,0.520744371,0.901878722
PAICS,0.41583696,0.453342841
ZNF536,0.129948148,0.233479111
EBF1,1,0.484446505
ABCA2,0.938775741,0.967333165
PSMD14,0.844307808,0.089341406
BTG3,0.831571919,0.32511446
PNMAL1,0.827907176,0.440198469
CDYL,0.523667068,0.480894091
GNL3,0.760284267,0.324965203
RTN1,0.512643616,0.808876335
SNORD116-16,0.875630546,0.472912771
ZNF44,0.748570212,0.359633035
PTPRS,0.845337876,0.123003377
BMP2,0.854732589,0.223502979
C7orf55-LUC7L2,0.997494554,0.798520652
LINGO1,0.895591501,0.115750358
LOC100419583,0.894038662,0.819172164
METTL10,0.769039617,0.373838956
UBE2D4,0.715962067,0.470875552
RPL21,0.456299317,0.096822032
PNMA1,0.809787669,0.309815583
CHST1,1,0.387113451
PSMA6,1,0.086902951
PI4KAP1,1,0.976765272
TULP3,0.454854623,0.372103857
ZIC3,0.914148085,0.003922889
SERPINI1,0.965338504,0.520851226
SPDL1,0.722927976,0.757679334
PSMB7,0.004850049,0.700667569
SEC61G,0.703684959,0.106289156
FIGN,0.721332473,0.864215544
LPAR2,0.875630546,0.002848851
PALM,0.456299317,0.165271001
FBXL16,1,1
BRSK1,0.269096269,1
LRRC59,0.840669479,0.192615203
COTL1,0.754798238,0.570106618
LOC100379224,0.9677338,0.009326299
TIMM21,1,0.91956906
FBXO31,0.559645668,0.051568405
PARN,0.746958486,0.007084351
LLPH,1,0.24225593
LPPR3,0.726047588,0.784350346
P4HB,0.895325558,0.087915117
SLC41A3,1,0.954364952
STX4,0.989508113,0.916345625
IGLON5,0.652197746,0.019885371
HNRNPA1,0.9441214,0.332867373
AP3B1,0.896068737,0.156660905
CHCHD7,0.763026129,0.133010243
SOGA3,0.543239998,0.191289996
RPL9,0.940874224,0.057486229
EIF5A,0.7673069,0.258463252
FAM222B,0.453541673,0.877211134
COPZ1,0.78902953,0.77391976
CASP3,0.32376591,0.61333309
RPL36AL,1,0.450666933
C16orf45,0.78465631,0.70657812
FAM171A2,0.77931196,0.641801815
DAGLA,0.610370267,0.926509707
NSMCE1,0.9677338,0.450922371
PRMT10,0.78902953,0.510675418
SAT2,0.874664898,1
NUCB2,0.672581925,0.682929861
MAP3K13,0.660103906,0.583480878
OSER1-AS1,1,0.325738497
CLSTN3,0.940619387,0.052198957
LINC00506,0.992583282,0.332226985
DUSP6,0.911576166,0.226608749
CDC40,1,0.979707135
DTX4,1,0.790882806
TCF12,3.07E-05,0.568486806
SPRED1,0.99535751,0.825959391
CREB3,0.572277588,0.099438812
FBXO10,0.827447901,0.227079768
SSBP1,0.978774098,0.362976541
CACNG4,0.896609833,0.319936742
SENP2,4.60E-05,0.012895349
SEC13,0.887087749,0.25971062
SCFD1,1,0.026303224
MEX3A,0.875313749,0.125496656
MARCKSL1,0.20961043,0.71957997
PRPSAP1,3.50E-12,0.024817921
ZNRF1,0.67896411,0.192039948
RPL28,1,0.010285383
ARPC5L,1,0.627941133
NFE2L2,1,0.896399477
TMEM55A,0.154670759,0.509642708
PPAPDC2,1,0.127648242
USF2,1,0.440182796
FANCF,0.619575251,0.357283005
REEP2,0.807665937,1
PCDHGB7,1,0.54716027
SLC25A29,0.663796421,0.00016426
3-Sep,0.842008797,0.736201892
BNIP2,0.883094698,0.730699145
ARFGAP3,0.880319885,0.494313881
ALYREF,0.663796421,0.472874296
SLC17A5,0.954647441,0.002157912
UPF3A,0.928743077,0.004182601
SBK1,0.473963897,0.896227175
NRARP,0.314630206,0.089835986
MTSS1,0.274996971,0.573948107
UG0898H09,0.680468682,0.988153778
PTPLB,0.783967178,0.16404131
MEGF8,0.786500918,0.394556579
MRAS,0.212087553,0.549685259
NOP58,0.801543734,0.253657566
6-Sep,0.780963953,0.118993133
KDELR2,0.522979659,0.111532554
NCS1,0.793308527,0.228952551
FBXW8,0.575856779,0.807353518
HSPA5,1,0.50075525
FAM53C,0.87430513,0.28554825
TXNDC11,0.763685501,0.424883763
CERS5,0.484728544,0.517486466
TYMS,1,0.012436864
C1orf27,0.802500003,0.70408142
RALGDS,1,0.187609184
ACADVL,0.89216316,0.083147095
SCARNA7,0.678059118,0.025354104
PODXL2,0.989689746,0.006621574
ADSL,0.464989841,0.629723692
HIST1H3A,0.798378573,0.022646774
TPM3,0.91450325,0.748486767
DRG1,0.983533093,0.873672619
ZNF862,1,0.121978098
SNORA71D,1,0.915654034
ZNF77,0.421823366,0.221131069
NFE2L3,0.578496548,0.277928805
NXF1,0.701115677,0.131776263
PCSK5,0.549675483,0.266093542
RDH13,0.968558189,0.070607367
FH,0.445568252,0.892798664
OSGEP,0.708964891,0.833415839
LARP7,0.856559108,0.929080425
DCLK1,1,0.600089307
NHP2L1,0.940619387,0.064966561
SNORD116-20,0.414189508,0.551428495
TRAK1,0.956384958,0.695907936
P4HA1,0.924659529,0.114700668
SYF2,0.342470781,0.17083936
HSPB2,0.965119353,0.890139907
DNAJC25,0.793397503,0.550162852
NKD2,0.575884514,0.996780314
BIN1,1,1
LRIF1,1,0.984603302
SLC35F1,1,0.981118088
FRMD4B,0.922394422,0.168660015
RIOK2,0.323052916,0.000337663
LINC01000,1,0.778214968
KRR1,0.89361055,0.260233552
ZNF608,0.911576166,0.007876985
ZBTB10,1,0.02502183
RIMS4,0.014298123,0.000293754
UAP1,0.588027068,0.63982506
GPRIN1,8.12E-05,0.706675784
ZFAS1,0.759862952,0.090545171
RND2,0.950810552,0.558341957
SND1,0.723624582,0.154897353
RAB3B,0.9677338,0.384545869
OLFM1,0.599329323,0.804977146
KIF1A,0.583965137,0.211921654
DOC2B,1,0.107891226
HOMER2,0.969443889,0.852273812
MSI1,0.837601525,0.635879445
CYTH2,0.518146404,0.019261108
ADD2,0.817474695,0.855966081
RAMP1,1,0.919930661
NBPF8,1,0.725236737
RUNDC1,0.99535751,0.760368814
COL11A1,0.896637651,0.527769587
AMD1,0.628608745,0.963167901
LSM11,0.889699145,1
TXNL4B,0.752117456,0.747527218
MFSD1,0.891563316,0.739306803
KCTD17,1,0.873002584
HEATR3,1,0.938782642
DAD1,0.822338499,0.575951401
LRRC1,0.785865889,0.453133009
MAP4K4,0.784888608,0.808488563
PES1,1,0.830384489
ZNF232,0.875630546,0.035049064
DPY19L3,0.857497631,0.811850944
SOX4,1,0.814737363
ATG7,0.44700087,0.086266591
TMEM170B,0.794252993,0.502041964
ADAMTS2,0.824925732,0.471096937
KCNK15,0.871475575,0.632482987
MALSU1,0.686453473,0.156256038
APC2,0.533593154,0.984191236
RGAG4,1,1
DPYSL4,0.871751642,0.622677662
DLL3,0.821289324,0.400817848
TMEM200C,0.229626262,0.495333884
STX1A,0.528750505,0.705310328
CELF3,0.464269644,0.306069197
FOXH1,0.489735502,0.560948572
CNTFR,0.851133291,0.728450402
CRELD2,1,0.488515797
SCFD2,0.732199844,0.589773108
TAGLN3,0.983112561,0.477709242
NME1-NME2,0.442619787,0.162954425
COG1,0.970036518,0.009038336
RPL13AP20,0.790544972,0.308982264
RPL23AP53,0.677105953,0.738478805
LAP3,1,0.788106912
CDKN2D,0.924751134,0.852786011
NNT-AS1,1,0.158131364
TCEAL7,1,0.829514932
GIGYF1,0.456926623,0.024795025
SHFM1,0.747858781,0.525447376
LPAR3,0.560013172,0.215892331
FASN,0.730357478,0.663917074
SLC37A1,0.945927099,0.826024627
ILDR2,0.637441364,0.961706123
TMCO1,0.839931965,0.164314559
PHLDB1,1,0.441606076
AKR1C1,0.844722223,0.117156622
BCR,0.95713432,0.721512717
COPA,0.600176055,0.27116537
KIF5A,0.139790604,0.47582242
SAR1B,0.938777787,0.50512121
AP3B2,1,0.468472163
LUC7L3,1,0.564756724
TXNIP,0.686591274,0.738609733
PIBF1,1,0.00620148
OCA2,1,0.770479796
TPMT,0.746073307,0.398577637
TMEM44,0.566698984,0.34316646
AKAP8,0.682306226,0.512524037
SNHG16,0.989689746,0.746316705
CASK,0.997494554,0.531995146
CINP,0.336370159,0.362721575
ST6GAL1,0.684801446,0.331734019
PTRH2,0.663387755,0.976496183
JMJD6,0.815519829,0.154668066
PYGO1,0.956384958,0.000380364
ACO1,0.893506111,0.799787325
MN1,0.827907176,0.554334705
PLSCR1,1,0.027716323
DLD,1,0.744047765
LINC00869,0.111901927,0.546658919
RABL3,0.889528457,0.44972123
ZSWIM5,0.834307126,0.355149154
SMYD4,0.347568528,0.203823969
DERL2,1,0.455801419
MRPL30,0.819033454,0.33633333
RBM12B,1,0.761385689
EVL,0.755414786,0.524279641
NOC3L,3.24E-12,0.944242118
PLA2G4B,0.819033454,0.720347442
RPL24,0.887087749,0.681083307
TUBE1,0.591495655,0.084909575
COPB1,0.765263415,0.762677346
5-Sep,0.481100548,0.827918662
PRRT2,0.627248261,0.51529452
ZNF207,0.702824835,0.491548304
GTF2IRD1,0.207129417,0.068636192
ZNF217,1,0.016751617
GINS1,0.851133291,0.34520974
WARS,0.662100139,0.021822377
LOC100288152,1,0.606078144
C19orf48,0.302189558,0.700166913
PACS2,0.525306854,0.000674196
TP53I11,0.984543932,0.735946886
SYT4,0.924659529,1
COL26A1,0.970877233,0.100388004
USP14,0.262195146,0.086608368
PEX11B,0.531655742,0.014354864
PGAM2,0.806158455,0.197316637
CSRP2,0.980062245,0.898320475
ZC3H7A,0.434398858,0.814440907
SALL2,0.111295016,0.037392339
HERC2P3,1,0.069490332
PNPT1,0.734749862,0.927901325
TMEM87A,0.429215268,0.559899169
MANF,0.636285016,0.372911537
WIZ,0.870548132,0.327253171
CNOT2,0.899723731,0.760136166
SNX18,1.50E-06,0.641215164
EAPP,0.554511511,0.610971457
GDAP1L1,1,0.095783709
HDAC3,1,0.894192311
OLFM2,0.594768055,0.252568369
CRIP2,0.334534963,0.001459858
PAPSS2,1,0.440845212
P2RX3,0.438025551,0.248781833
FBXL6,1,0.09568966
MAPK8IP2,0.669598423,0.229391172
NAT10,0.602728918,0.448555317
GPCPD1,0.414675921,1
GALNT14,0.697784303,0.030395139
PDZD4,0.602728918,0.720246126
TFG,0.812130103,0.028130593
NIFK,0.865371483,0.229746885
EIF4H,1,0.256979035
CCDC47,0.894841967,0.483978147
TSPYL4,1,0.358031575
SUCO,0.646655187,0.118511843
U2AF1,0.47617446,0.174824773
TRIAP1,0.960019678,0.742934204
TUSC3,1,0.937818123
LPPR1,1,1
WNT8B,0.868247317,0.046221802
TIMM23,0.753677886,0.903265169
ZCCHC14,0.803516773,0.724598067
ORC5,1,0.122274852
STMN4,0.467121396,0.214734736
TASP1,0.883182246,0.78118718
FAM114A2,1,0.462943771
SULF2,0.808688496,0.56681572
TATDN1,0.917111321,0.813406552
EIF2AK3,0.376410786,0.037373507
CBL,1,0.991110584
ATPIF1,1,0.299164881
ECD,0.828451829,0.915515293
GUSB,0.532475897,0.244686281
LINC00342,0.922569454,0.329296409
SLC35E1,0.84896196,0.275053219
GOLGA3,0.571189181,0.732524921
PARD3,0.875630546,0.51136785
GUCY1A3,1,0.153186703
NIPAL3,0.416856714,0.000329167
ATCAY,1,0.568331371
MMP11,0.936105017,1
ELN,0.744067527,0.022620788
POMT1,0.854908078,0.953243174
CAMTA2,0.776846345,0.967041714
EIF4E2,1,0.166870573
LINC00152,0.20187839,5.05E-05
CASP2,1,0.916778861
GPR173,0.378296106,0.139310632
RAB6B,0.971955057,0.98698224
UBC,1,0.082078677
TMOD2,1,0.077259147
AKR1A1,0.618528824,0.401571182
SCG3,0.675375054,0.250450631
MRPS35,0.690937987,0.025482986
ID4,1,0.743673288
SLC35B1,0.576167795,0.384072004
VPS26A,0.840951604,0.321981177
AATF,0.806158455,0.28290428
PNMAL2,1,0.540629946
FOXK2,0.351024901,0.003687483
IMPAD1,0.715962067,0.936201128
IPO11,0.577542169,0.192713118
EDA2R,0.960019678,0.949588525
COPS3,0.000733855,4.40E-06
NCK1,0.078616736,0.000194997
GDI1,0.494679365,0.036523615
RFC2,0.553448501,0.20874061
UXT,0.700457529,0.189884981
PCDH1,0.595430226,0.661417886
EPS15,0.147939828,0.017121253
KLF7,0.156895692,0.000399684
YIF1A,0.329187428,0.502320932
FGGY,0.908506859,0.984572778
RAC3,0.773124175,0.015723036
FAF2,0.758979106,0.457031828
LRRC42,0.819033454,1
ZCCHC4,0.827907176,0.930738945
CLASP2,0.424654408,0.060147299
EIF4A1,0.622453222,0.090049272
PLXNA1,0.971380675,0.824265617
COL12A1,0.886069845,0.604067399
YIPF5,0.827907176,0.581337457
PKIB,0.544353682,0.160805148
ACTL6B,0.979530746,0.450006608
ANAPC5,0.601438722,0.064502842
WBSCR22,0.723299228,0.0033134
AKAP8L,0.847867209,0.218344856
C1QL4,0.466873629,0.759334369
COG6,1,0.316425211
RBM5-AS1,0.599275585,1
PGM2,0.464828193,0.001274477
DYNLRB1,0.758979106,0.269045642
EXOSC6,0.768706208,0.520812663
LOC728554,0.456299317,0.006479598
TSKU,0.32031541,0.061414832
DPYSL2,1,1
IMPACT,0.969754415,0.984997602
STT3A,0.339720956,0.350356071
RPLP0,1,0.578018964
RAB15,0.715962067,1
CLTC,0.758631075,1
RWDD2B,1,0.839048175
MARCKS,0.785876122,0.576234817
TSR1,0.91700341,0.530336981
WDR20,0.992583282,0.105446724
USP42,0.292716391,0.931781135
NACAD,0.537623765,0.136635918
FBXL19,0.588087556,0.826301077
SF3B4,0.99535751,0.62522084
UBTD2,0.929489912,0.042020427
C1QTNF4,0.831294252,0.198922171
PTBP3,0.490474978,0.352662843
SLU7,1,0.860102508
GRIK5,0.756768042,0.806259904
DLG4,0.718876554,0.007714013
RENBP,1,0.155768789
PELI1,0.781563845,0.566382704
ZW10,0.95314991,0.774920484
CDK5RAP1,0.675904781,0.180750077
AQR,0.640004567,0.03550893
HEBP1,0.980645307,0.388956782
CEP68,0.681902175,0.865638809
ZNF697,0.877392916,0.032904828
SIK3,1,0.042788117
FAM219A,0.729624146,0.665491703
SRPR,0.874906362,0.694993528
MCEE,0.677649014,0.716189305
STOX2,1,0.073756539
EMC7,0.95009999,0.668354064
ADAM11,0.818668698,0.280477497
ELAVL3,1,0.252973396
PDHX,0.790233509,0.542397819
GSPT1,0.884285316,0.977322405
GALNT9,1,0.747626531
STMN1,1,0.995170428
MUSTN1,0.881476551,0.546793427
C17orf70,0.767072381,0.399456018
NDUFS1,1,0.802934379
HSDL2,0.936105017,0.365903814
SAMD11,0.864945412,0.260513827
PLEKHG5,0.908506859,0.604991948
ALG8,0.894055254,0.238795139
LGALS3,0.272757535,0.019214923
SNAPC3,0.804332848,0.991288734
SDSL,0.588087556,0.365923276
MTSS1L,1,0.437563019
VPS37D,1,0.010657465
DNTTIP2,0.201019547,0.23057056
LPIN1,0.533547934,0.310638846
CALCOCO2,0.687971016,0.013272447
GALNT1,0.650680311,0.356717901
RCOR2,1,0.716011204
IRF2BP1,1,0.569257864
XPNPEP3,0.975736649,0.657122052
H1FX,1,1
ELF3,1,1
TVP23B,1,0.542912215
HSP90B1,0.542946655,0.979355052
SRSF5,0.805601943,0.997689152
FMNL3,0.982515346,1
DPYSL3,0.89216316,0.630627138
ST3GAL1,0.856694466,0.240002998
EIF2S1,0.025440729,0.042582824
AHCTF1,0.914148085,0.041335543
TLE1,0.924574113,0.503321599
GRPEL1,0.849467857,0.9878938
MYT1,1,0.504702645
GDPD1,0.837908792,0.797265646
MOCS2,0.439643645,0.7845359
BUD31,0.904337174,0.042632601
MRPL48,1,0.819755508
TRAF7,0.401804314,0.08711458
RXRG,0.612769522,0.168446649
PSMC5,0.531471948,0.3882907
PSMC1,1,0.826448138
CACNG7,0.839895922,0.79922643
ASB1,0.667132244,0.559066909
DDX1,0.811077216,0.034383628
CLVS1,1,0.023006813
SRR,1,0.026160089
MMADHC,0.255106211,0.851927759
SPC25,0.958457341,0.010654475
VDAC3,1,0.855267701
IGFBPL1,0.687971016,0.759900667
MAB21L2,0.434826818,0.007809733
ABCC4,0.908506859,0.728137009
RAB3A,0.938763474,0.172138104
YPEL3,0.746035446,0.791751369
UTP6,0.696260971,0.080578087
HSPA9,0.12088073,0.000109569
HBS1L,0.902640937,0.939311573
FAM179B,0.589661033,1
