Short Gene name,p_value
LOC100379224,0.212221694
TIMM21,0.752826267
FBXO31,2.63E-05
PARN,0.691690904
LLPH,0.593682445
LPPR3,0.727795406
P4HB,0.032013445
SLC41A3,0.844213487
STX4,1
IGLON5,0.339709379
HNRNPA1,0.390828242
AP3B1,0.945293334
CHCHD7,0.013674295
SOGA3,0.160860651
RPL9,0.697722351
EIF5A,0.622286268
FAM222B,0.585609727
COPZ1,0.725747488
CASP3,0.446241428
RPL36AL,0.468720433
C16orf45,0.733737536
FAM171A2,0.793531236
DAGLA,0.866313793
NSMCE1,0.840487635
PRMT10,0.452089615
SAT2,0.53636169
NUCB2,0.68289208
MAP3K13,0.824790026
OSER1-AS1,0.758424336
CLSTN3,0.429928715
LINC00506,0.621596054
DUSP6,0.934614464
CDC40,0.000515181
DTX4,0.605297088
TCF12,0.001010826
SPRED1,0.938441396
CREB3,0.004161976
FBXO10,0.794323318
SSBP1,0.878210336
CACNG4,0.855376449
SENP2,1
SEC13,1
SCFD1,0.055840416
MEX3A,0.28661724
MARCKSL1,0.465354899
PRPSAP1,6.79E-14
ZNRF1,0.318270197
RPL28,0.375482072
ARPC5L,0.985533516
NFE2L2,0.996267155
TMEM55A,7.55E-06
PPAPDC2,0.201174283
USF2,0.836466167
FANCF,0.520957683
REEP2,0.7667748
PCDHGB7,0.830760355
SLC25A29,0.365911399
3-Sep,1
BNIP2,0.972813026
ARFGAP3,0.512011528
ALYREF,0.864816684
SLC17A5,0.28531787
UPF3A,0.664125524
SBK1,0.131662733
NRARP,0.854570835
MTSS1,0.279507056
UG0898H09,0.840437466
PTPLB,0.582992088
MEGF8,0.133784831
MRAS,0.302621344
NOP58,0.530913393
6-Sep,0.937979312
KDELR2,5.99E-05
NCS1,0.264138117
FBXW8,0.436085696
HSPA5,0.211782898
FAM53C,0.873649457
TXNDC11,0.692161691
CERS5,0.418195467
TYMS,0.955187218
C1orf27,0.927039086
RALGDS,0.854361464
ACADVL,0.350438385
SCARNA7,2.35E-06
PODXL2,0.016334087
ADSL,0.656075108
HIST1H3A,0.198498862
TPM3,0.307290844
DRG1,0.531497687
ZNF862,0.851239491
SNORA71D,0.467706126
ZNF77,0.078528662
NFE2L3,0.923939933
NXF1,0.85326606
PCSK5,0.714451425
RDH13,0.019755862
FH,0.688231049
OSGEP,0.643052069
LARP7,1
DCLK1,0.87913604
NHP2L1,0.586250316
SNORD116-20,0.71435403
TRAK1,1
P4HA1,0.604768758
SYF2,0.468936819
HSPB2,0.196508191
DNAJC25,0.662681036
NKD2,0.533965569
BIN1,0.869185855
LRIF1,0.593100415
SLC35F1,0.096642204
FRMD4B,0.659992826
RIOK2,0.820719618
LINC01000,0.398783835
KRR1,0.063055251
ZNF608,0.64239783
ZBTB10,0.491168281
RIMS4,0.40260288
UAP1,7.20E-08
GPRIN1,0.854750342
ZFAS1,0.289809982
RND2,0.616754624
SND1,0.902435829
RAB3B,0.590537793
OLFM1,0.679871624
KIF1A,0.189441104
DOC2B,0.556702608
HOMER2,0.329282203
MSI1,0.747253397
CYTH2,0.775230823
ADD2,1
RAMP1,0.942520438
NBPF8,0.251024511
RUNDC1,1
COL11A1,0.019282031
AMD1,0.650414562
LSM11,0.339596922
TXNL4B,0.609166671
MFSD1,0.997088259
KCTD17,0.867505687
HEATR3,0.752331747
DAD1,0.596800355
LRRC1,0.8466088
MAP4K4,0.997214398
PES1,0.867175524
ZNF232,0.714451425
DPY19L3,0.735251681
SOX4,0.404581065
ATG7,0.115977134
TMEM170B,0.926137803
ADAMTS2,1
KCNK15,0.906722342
MALSU1,0.841946678
APC2,0.793840119
RGAG4,0.604062917
DPYSL4,0.899157648
DLL3,0.542650675
TMEM200C,0.146704351
STX1A,0.828239953
CELF3,0.434479248
FOXH1,0.82533206
CNTFR,0.957368125
CRELD2,0.285930737
SCFD2,0.367723428
TAGLN3,0.80217328
NME1-NME2,0.437996886
COG1,0.140407556
RPL13AP20,0.361846429
RPL23AP53,0.906602643
LAP3,0.985622607
CDKN2D,0.965063091
NNT-AS1,0.026481291
TCEAL7,0.208156434
GIGYF1,0.54839523
SHFM1,0.748168686
LPAR3,0.53014193
FASN,0.944764046
SLC37A1,0.748009202
ILDR2,0.732156124
TMCO1,0.382735313
PHLDB1,0.378401155
AKR1C1,0.02284498
BCR,0.872167532
COPA,0.485570131
KIF5A,0.379724409
SAR1B,0.164271233
AP3B2,0.349380263
LUC7L3,0.978547491
TXNIP,0.931379914
PIBF1,0.087733456
OCA2,0.814463103
TPMT,0.515583058
TMEM44,0.909253289
AKAP8,0.872562237
SNHG16,0.557651789
CASK,0.279213792
CINP,0.243575244
ST6GAL1,0.716200018
PTRH2,0.94477551
JMJD6,0.001733257
PYGO1,0.704706085
ACO1,0.853276367
MN1,0.56974783
PLSCR1,0.252375062
DLD,0.30154254
LINC00869,0.031523013
RABL3,0.600500507
ZSWIM5,0.839584428
SMYD4,0.340806601
DERL2,1
MRPL30,0.645322389
RBM12B,0.848162085
EVL,0.810933667
NOC3L,0.002719999
PLA2G4B,0.232637394
RPL24,0.124537058
TUBE1,0.398399277
COPB1,0.540396534
5-Sep,0.329330337
PRRT2,0.736845491
ZNF207,0.737600668
GTF2IRD1,0.134109701
ZNF217,0.903336722
GINS1,0.910568181
WARS,0.25982114
LOC100288152,0.513057596
C19orf48,0.360428702
PACS2,0.031784854
TP53I11,0.75421051
SYT4,0.775653543
COL26A1,0.874561508
USP14,1
PEX11B,0.320705744
PGAM2,0.663104234
CSRP2,0.728956067
ZC3H7A,0.994073028
SALL2,0.014575743
HERC2P3,0.006705316
PNPT1,0.302214407
TMEM87A,0.40047639
MANF,0.701121636
WIZ,0.685909026
CNOT2,0.608632948
SNX18,4.25E-07
EAPP,0.210308588
GDAP1L1,0.030427472
HDAC3,0.480500287
OLFM2,0.571061333
CRIP2,0.226665244
PAPSS2,0.192201643
P2RX3,0.111131445
FBXL6,0.013673834
MAPK8IP2,0.07396765
NAT10,1
GPCPD1,1
GALNT14,0.13163704
PDZD4,0.75281024
TFG,0.262040397
NIFK,0.192077485
EIF4H,0.581331321
CCDC47,0.902980199
TSPYL4,0.777604447
SUCO,0.557033933
U2AF1,0.798224948
TRIAP1,0.789221557
TUSC3,0.612949601
LPPR1,0.65134482
WNT8B,0.019842557
TIMM23,0.626525686
ZCCHC14,0.793939572
ORC5,0.009975797
STMN4,0.556821631
TASP1,1
FAM114A2,0.509877671
SULF2,0.486451156
TATDN1,0.916946123
EIF2AK3,0.773731043
CBL,0.985533516
ATPIF1,0.238790513
ECD,0.80205032
GUSB,0.210465719
LINC00342,0.823424295
SLC35E1,0.746774508
GOLGA3,0.115363838
PARD3,0.451167249
GUCY1A3,0.313131685
NIPAL3,0.963901537
ATCAY,0.628299038
MMP11,1
ELN,0.086565228
POMT1,0.99209022
CAMTA2,0.820626359
EIF4E2,0.238904583
LINC00152,0.030844044
CASP2,0.419514838
GPR173,2.27E-05
RAB6B,1
UBC,0.963430677
TMOD2,0.848637007
AKR1A1,0.350276724
SCG3,0.745355476
MRPS35,0.237905785
ID4,0.704710024
SLC35B1,0.823125829
VPS26A,0.192337398
AATF,0.698824975
PNMAL2,0.49128115
FOXK2,0.307765985
IMPAD1,0.773731043
IPO11,0.308925211
EDA2R,0.058324175
COPS3,0.237416299
NCK1,0.493543004
GDI1,0.644677567
RFC2,0.764120225
UXT,0.464956691
PCDH1,0.891229146
EPS15,0.038552662
KLF7,0.0021387
YIF1A,0.476265967
FGGY,0.655367599
RAC3,0.068040782
FAF2,0.435894846
LRRC42,0.906722342
ZCCHC4,0.29079258
CLASP2,0.789735547
EIF4A1,0.204608691
PLXNA1,0.919144967
COL12A1,0.253248351
YIPF5,1
PKIB,0.201033293
ACTL6B,0.528996202
ANAPC5,0.19917243
WBSCR22,0.283461392
AKAP8L,0.980917423
C1QL4,0.13163704
COG6,0.000350098
RBM5-AS1,0.690904091
PGM2,0.017988035
DYNLRB1,0.502392643
EXOSC6,0.644115138
LOC728554,0.906432664
TSKU,0.575547857
DPYSL2,9.77E-160
IMPACT,0.425456555
STT3A,0.766143723
RPLP0,0.84259234
RAB15,0.195589864
CLTC,0.888846441
RWDD2B,0.64382599
MARCKS,0.669839758
TSR1,0.831963922
WDR20,0.287997654
USP42,0.006159759
NACAD,0.998284542
FBXL19,0.944882112
SF3B4,0.632142822
UBTD2,0.137278761
C1QTNF4,0.490698614
PTBP3,0.446631805
SLU7,1
GRIK5,0.989259612
DLG4,0.159895572
RENBP,0.606269142
PELI1,0.594787067
ZW10,0.500099829
CDK5RAP1,0.654579424
AQR,0.151457915
HEBP1,0.594919109
CEP68,1
ZNF697,0.339562172
SIK3,0.449976123
FAM219A,0.826663715
SRPR,0.439991643
MCEE,0.797659655
STOX2,0.010055205
EMC7,1
ADAM11,0.825587269
ELAVL3,0.018880988
PDHX,0.21608826
GSPT1,0.965143891
GALNT9,0.820618209
STMN1,0.519419959
MUSTN1,0.959250581
C17orf70,1
NDUFS1,0.816295347
HSDL2,0.643661317
SAMD11,0.128637384
PLEKHG5,0.607382636
ALG8,0.629449524
LGALS3,0.528014404
SNAPC3,0.968254867
SDSL,0.109480254
MTSS1L,0.423072186
VPS37D,0.278342131
DNTTIP2,0.510122794
LPIN1,1
CALCOCO2,0.317353146
GALNT1,0.408289389
RCOR2,0.791648086
IRF2BP1,0.450800459
XPNPEP3,0.603364231
H1FX,0.587306779
ELF3,0.170417292
TVP23B,0.945637788
HSP90B1,0.207522964
SRSF5,0.064987572
FMNL3,0.946584018
DPYSL3,0.383007025
ST3GAL1,0.488615798
EIF2S1,0.128420084
AHCTF1,0.797042429
TLE1,0.425661305
GRPEL1,0.817477875
MYT1,0.868937236
GDPD1,0.911505222
MOCS2,0.790335209
BUD31,0.138735016
MRPL48,0.210779075
TRAF7,0.629034275
RXRG,0.771717354
PSMC5,0.737825512
PSMC1,0.643362121
CACNG7,0.632142822
ASB1,0.666134481
DDX1,2.06E-06
CLVS1,0.292416588
SRR,0.579473121
MMADHC,0.274949912
SPC25,0.103088279
VDAC3,0.906602643
IGFBPL1,0.55020205
MAB21L2,0.272905436
ABCC4,0.848910908
RAB3A,0.243766336
YPEL3,0.799001128
UTP6,0.636678736
HSPA9,0.016887555
HBS1L,0.423797271
FAM179B,0.66966752
POLR2J2,0.976933806
FBXO9,0.482003326
MFI2,0.170191329
PMF1,0.139444845
RNF157,0.114355777
PI4K2B,0.031315468
TRMT6,0.972339855
TBC1D16,0.510598649
ACSL4,0.922575175
SNORA67,0.760467797
SCARNA9,1
TMEM131,0.209064227
ZFP62,0.025780709
RAB28,0.446018284
GFPT1,0.68129423
USO1,0.663845174
PARP14,0.259775744
SNN,0.856587486
NLGN3,0.016992099
HOPX,1
DDX18,0.921736935
ZNF253,0.913001938
FKBP15,0.374545351
TCEB2,0.713729269
MSH6,0.455805318
GFOD2,0.699145545
COX17,0.102807029
MOXD1,0.169234748
GDF11,0.213331709
EMP2,0.477440643
SEC63,0.946474192
NIF3L1,0.750297298
FBXO25,0.969566904
RPS3,0.842934412
KLC1,0.354635234
CIAO1,0.198831601
HNRNPD,0.88534462
MKNK2,0.492377678
TET3,3.23E-10
APBA1,0.31799173
TTC37,0.253389586
ESYT2,0.374045304
B3GAT1,0.338409737
CERK,0.002751012
EBF2,0.69751731
DNAJC2,0.691666267
CAMK4,0.878496484
HBP1,0.601741429
ENO3,0.232766459
LRP3,0.917095784
ZBTB41,0.037488912
COPS6,0.750394627
CELSR3,0.559184223
KLHL24,0.803610421
APBB3,0.469950757
DCAF13,0.336470473
SYP,0.332386807
VASH1,0.970372404
HDAC6,0.668541693
AC104134.2,0.961031923
HOMER3,0.027212137
SPTY2D1,0.286412477
RER1,0.632363362
ST3GAL4-AS1,0.483469779
PRKAR2B,0.749855568
EMG1,0.678599426
MPHOSPH10,0.339660491
SUV39H2,1
RHOBTB1,0.579454436
ASCC3,0.836755209
BMS1,0.670691942
PUS7,0.622647537
PPAT,0.642905253
NDUFB4,0.467706126
TTF1,0.014063325
SGCG,0.824394551
MTHFD2,0.97910731
ELAVL4,0.782233729
HDGF,0.386186194
TXNRD2,0.438738699
PPM1E,0.726728659
CPAMD8,0.697508776
ABCA3,0.981521733
NUP98,0.00034325
ELP2,0.906454359
FNDC3B,0.12355965
UBXN4,0.968693946
MUM1,0.963901537
TUSC1,0.259583159
REM2,0.146564426
NPHP3,0.796024803
MAGOHB,0.980990049
POLR3D,0.36669731
TRAPPC1,0.114556632
KALRN,0.65746146
ERC2,0.67239079
CRABP2,6.63E-05
KHDRBS2,0.818785677
LAPTM4A,0.662160933
CACNA2D3,0.669616684
CCDC25,0.697905533
RNF121,0.052544157
MRPL17,0.644857112
SC5D,0.646036922
ATL2,0.946474192
C11orf95,0.315461081
THUMPD1,0.836020699
TTYH1,0.738356162
LOC100506603,0.820632193
PHF2,0.245328567
PRMT5,0.15460952
PAPSS1,0.192201643
NSUN5P1,0.946990955
ADAMTS10,0.80427304
C2CD4C,0.779336452
FAM126A,0.819632054
OAZ2,0.593934012
NARG2,0.83640349
PRRT3,0.000750049
FAN1,0.70778849
MVB12B,0.708716204
DSTN,0.580571946
NAA20,0.603197512
GBE1,0.503378229
DOPEY2,0.649971469
ARMCX5,0.363640367
ALDH18A1,0.925566717
RASSF4,0.36186435
HSBP1,0.623817446
TOX3,0.805067898
ENY2,0.653563055
ARHGAP5-AS1,0.112526152
WDR43,0.553042374
MED9,0.64803481
SLC31A1,0.007680809
DRAXIN,0.967074326
GTF2H1,0.94048455
VPS33A,0.128392197
SYT5,0.402689459
MICAL1,1.57E-73
SNORD116-18,0.621233117
ALDOC,0.220054569
ADAMTS7,1
NAA35,0.388361698
ARHGEF7,0.198796
PARG,0.372151893
MYO5B,0.732400305
ZNF606,0.258868333
SCD5,0.085369604
PSMD1,0.719094907
CCDC109B,1
MKRN2,0.05510268
TMED2,0.821021072
SAR1A,0.75177496
ESCO1,0.683897629
DCLK2,0.887131494
KIF5C,0.820626359
ANKRD13B,0.773731043
CXXC4,0.477505143
ADAP1,0.846610402
MMD,0.570860187
GPM6B,0.546287952
B2M,0.454096604
RAD17,0.464217044
FAM20C,1
HGSNAT,0.0624425
ATF4,0.728322697
SNORD116-24,0.360672487
PLRG1,0.640220775
CCDC59,0.633474504
SYT13,0.708882485
LMF2,0.864410669
LINC00086,0.725966437
SLC1A5,0.811965346
SPCS2,0.312578791
SCARA3,0.977020553
ATP6V0A1,0.1256121
LOC101926898,0.82567731
POLR2B,0.99209022
CNNM4,0.660327436
SLX1B,0.153493239
ZNF623,0.545431982
EIF3K,0.751381804
EIF2B4,0.257859585
MICAL3,0.995361847
CDK14,1
DHX29,0.815303395
ADCY6,0.78508496
SH3BP5,0.192872895
LTN1,0.226908422
PTMS,0.069650821
EIF3M,0.877532203
RPL35A,0.14868575
RNF130,0.384692439
PATZ1,0.173634693
PDE10A,0.423072186
IPO5,0.980580048
FARP2,0.993205727
PSMC2,0.080831434
ARHGEF3,1
TRIM22,0.75123239
GOLGA2,0.000558585
KCTD21,0.811670572
CCND2,1
EIF2B5,0.7667748
PSMB5,0.814097525
CSNK1G2,0.870329022
DKC1,1.22E-11
HSCB,0.562393552
PMF1-BGLAP,0.954364709
PPP2R5B,0.478081855
S100B,0.747506478
DDX47,0.483941097
C12orf68,1
USP39,0.874507418
CBX2,0.02111918
CHAMP1,0.909739898
SRFBP1,0.544236994
SNORA74B,0.603895936
GGT7,0.4842398
HNRNPM,0.583499977
ZDHHC9,0.117254926
DNAJB2,0.603035372
SNX2,0.609933707
RMDN1,0.015958479
HN1,0.789345483
WDR3,0.590641885
GIT1,0.790459993
C11orf1,0.724039904
SETX,0.979673355
HMP19,0.380594874
IER3IP1,0.091189761
CNST,0.59260044
PDCD4,0.86274453
VKORC1,0.691862834
IQCB1,0.777549493
SPRYD7,0.332869769
PCGF3,0.232163212
GNAZ,0.322118422
B4GALNT4,0.526935666
LRRFIP1,0.498903082
MRGBP,0.055436685
C2orf47,0.758763756
PHC2,9.68E-11
KLHL17,0.894724316
NBN,0.847536663
BCL2L13,0.185923159
TMEM240,0.047713203
METAP2,0.060516579
IGSF9B,0.894352817
PIGX,0.06704665
NAA15,1
LSS,0.08025089
TPPP,0.100365694
STMN3,0.528859313
LOC728769,0.857625574
INPP5E,0.884300203
TSPY26P,0.966240594
ALG2,0.334702575
SARNP,0.675374056
TEF,0.710637461
STK33,0.041314138
PSD,0.020195792
IGHMBP2,0.81861963
RASA4B,0.549925284
TTYH3,0.373103906
EPRS,0.402197036
PAG1,0.501436216
TRIO,0.873124084
NPIPA5,1.17E-12
BSN,0.208850353
NEGR1,0.9059859
LEPROTL1,0.981023382
VANGL2,0.186103987
LOC150776,0.943470623
DR1,0.694238574
RPS27A,0.574605241
AARSD1,0.545529181
SLC30A1,0.802039154
THBD,0.527189053
NOVA2,0.861845931
ANKRD32,0.237989383
ABCA7,0.88050062
SOBP,0.445263421
STX7,0.211661506
CSTF2,0.548156001
PNMA2,0.056538471
UBE2S,0.954765446
CHM,0.658687664
NAV1,0.782417441
SNORD116-21,0.196948823
GREB1,0.666020658
ZSCAN2,0.348354522
UCHL1,0.238298629
PCED1A,0.549946866
PLAA,0.237990116
DMWD,0.515836775
COPG1,0.235582101
CHD7,0.085833922
IRS2,0.535627059
RNF44,0.615224674
ZNF205,0.216029882
STAT5B,0.693474913
C12orf75,0.423323582
HECTD4,0.933680489
SMIM13,0.477069673
TUBA1A,0.871973311
ENO2,0.566670946
PKI55,0.550269417
ARCN1,0.843057547
EIF3I,0.695609542
EXOSC8,0.736447961
POLD3,0.078641889
MNS1,0.6283892
MXRA5,0.037562725
KIAA0930,0.37628135
TUBG1,0.589542606
AGRN,0.211754736
DGKD,0.654056486
RNF6,1
MICU3,0.425571926
GFM1,0.646036922
RRP36,0.274702023
F11R,0.27587087
SETD7,0.6216966
DCAF15,0.00088591
ITGA11,0.815044018
SCARNA5,0.111802808
SSB,0.035853038
PLXNC1,0.900752053
UCHL3,0.188211828
DENND4B,0.719294657
EPHB2,0.771683961
LINC00094,0.929870546
POGZ,1
AP3M1,0.95229526
AFF1,2.62E-05
C17orf97,0.236837207
ANXA7,0.820633755
SYT1,0.003619812
PDLIM1,0.643971542
PLEKHA5,0.770459084
DDX46,0.817279262
KARS,0.923301786
EIF3C,1
CBWD5,0.316229304
DPYSL5,0.072017823
AS3MT,0.296066553
TOP1MT,0.675719773
PRPF40A,4.58E-06
RAB3GAP1,0.117283082
SLC25A32,0.013864082
NXPH2,0.577528076
RNF181,0.058282485
DHRS13,0.407576877
CCNK,0.95229526
C10orf35,0.001398153
SNRPF,0.905209987
PDHA1,0.884469465
RNPS1,0.637492809
RNF38,0.1888456
RASA4CP,0.767637694
GNL2,0.562938846
ZIC2,0.980990049
SNORA52,0.0027243
SLC7A2,0.916205376
C1orf198,0.044896694
